"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",-10191.4925268915,-2130021.93812032,-0.308071696967522,0,0,-2130021.93812032,-0.308071696967522,0,0,FALSE,0.74641148325,0.810626207994268,0.807585833088598,0.688144332462024,0.0823697403588119,0.111809122697609,0.139360778080112,0.111809122697609,0.358584862303374,0,998.710637402404,0.001292859403,717088.418760455,1e-04,"1_371_7",1,371,7,2597,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0.922359211192812,6423841.23487064,0.929100135007505,30736.0824634959,0.710282270583043,6423841.23487064,0.929100135007505,30736.0824634959,0.710282270583043,TRUE,0.74641148325,0.810626207994268,0.807585833088598,0.688144332462024,0.0823697403588119,0.111809122697609,0.139360778080112,0.111809122697609,0.358584862303374,0,998.710637402404,0.001292859403,717088.418760455,1e-04,"1_371_7",1,371,7,2597,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.713491879640839,-1208.68339742955,-0.000174815638599097,-5.78317415038061,-0.000133643774270454,-1208.68339742955,-0.000174815638599097,-5.78317415038061,-0.000133643774270454,FALSE,0.74641148325,0.810626207994268,0.807585833088598,0.688144332462024,0.0823697403588119,0.111809122697609,0.139360778080112,0.111809122697609,0.358584862303374,0,998.710637402404,0.001292859403,717088.418760455,1e-04,"1_371_7",1,371,7,2597,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","ct.1.",13.1404490442125,1415364.65439609,0.204708591542695,6772.07968610568,0.156496461178135,1415364.65439609,0.204708591542695,6772.07968610568,0.156496461178135,TRUE,0.74641148325,0.810626207994268,0.807585833088598,0.688144332462024,0.0823697403588119,0.111809122697609,0.139360778080112,0.111809122697609,0.358584862303374,0,998.710637402404,0.001292859403,717088.418760455,1e-04,"1_371_7",1,371,7,2597,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","x.1.",3249.9241961409,188072.204825564,0.0272014678610141,899.867008734755,0.0207950893854478,188072.204825564,0.0272014678610141,899.867008734755,0.0207950893854478,TRUE,0.74641148325,0.810626207994268,0.807585833088598,0.688144332462024,0.0823697403588119,0.111809122697609,0.139360778080112,0.111809122697609,0.358584862303374,0,998.710637402404,0.001292859403,717088.418760455,1e-04,"1_371_7",1,371,7,2597,1,179077.69020739,856.831053623878,4166.31236828981,3309.48131466593,636.666135598892,0.389763450996346,0.155937933380408,0.743047457145932,1.0502268853689,0.952175205121269,1,FALSE,1.04474180150784,0.0281994884599623,0.866334414281345,1.22145699288198,0.304823835560917
"6","x.2.",3319.53066614852,254759.267558517,0.0368466251311079,1218.94386391635,0.0281686586572653,254759.267558517,0.0368466251311079,1218.94386391635,0.0281686586572653,TRUE,0.74641148325,0.810626207994268,0.807585833088598,0.688144332462024,0.0823697403588119,0.111809122697609,0.139360778080112,0.111809122697609,0.358584862303374,0,998.710637402404,0.001292859403,717088.418760455,1e-04,"1_371_7",1,371,7,2597,1,113445.538835127,542.801621220704,646.298364031579,103.496742810875,1266.3895769222,0.246914758981486,0.211230754323469,2.3330615226871,2.24565258514717,0.445304855530208,1,FALSE,3.32508653876718,0.783085409395161,0,8.28191836262515,0.443499241555614
"7","x.3.",10796.2611866056,763239.435114508,0.110389693063798,3651.86332590674,0.0843911639703793,763239.435114508,0.110389693063798,3651.86332590674,0.0843911639703793,TRUE,0.74641148325,0.810626207994268,0.807585833088598,0.688144332462024,0.0823697403588119,0.111809122697609,0.139360778080112,0.111809122697609,0.358584862303374,0,998.710637402404,0.001292859403,717088.418760455,1e-04,"1_371_7",1,371,7,2597,1,166929.009872181,798.703396517614,813.613053165842,14.9096566482283,3984.59551739278,0.363321790022168,0.632831312296123,4.98883006478477,4.5722396346742,0.218711196240977,1,FALSE,4.5439666184741,0.249053400400434,2.98127483211262,6.11766100752262,0.24554301938213
"8","(Intercept)",-9721.11296097866,-2031712.60884454,-0.294013662473796,0,0,-2031712.60884454,-0.294013662473796,0,0,FALSE,0.74641148325,0.818412421913858,0.806193990967692,0.662606856833549,0.0806586274431525,0.112212783817964,0.144954555308584,0.112212783817964,0.446051306134479,0,991.014526357209,0.001282125886,717088.418760455,1e-04,"1_382_4",1,382,4,2671,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"9","trend",0.922860361092234,6427331.5316549,0.930113479302507,30752.7824481096,0.718781807546288,6427331.5316549,0.930113479302507,30752.7824481096,0.718781807546288,TRUE,0.74641148325,0.818412421913858,0.806193990967692,0.662606856833549,0.0806586274431525,0.112212783817964,0.144954555308584,0.112212783817964,0.446051306134479,0,991.014526357209,0.001282125886,717088.418760455,1e-04,"1_382_4",1,382,4,2671,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"10","season",0.700340627518645,-1186.4046574059,-0.000171687263730797,-5.67657730816219,-0.000132678091978239,-1186.4046574059,-0.000171687263730797,-5.67657730816219,-0.000132678091978239,FALSE,0.74641148325,0.818412421913858,0.806193990967692,0.662606856833549,0.0806586274431525,0.112212783817964,0.144954555308584,0.112212783817964,0.446051306134479,0,991.014526357209,0.001282125886,717088.418760455,1e-04,"1_382_4",1,382,4,2671,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"11","ct.1.",13.1528391052987,1416699.19437019,0.205013699746315,6778.46504483346,0.158432407393895,1416699.19437019,0.205013699746315,6778.46504483346,0.158432407393895,TRUE,0.74641148325,0.818412421913858,0.806193990967692,0.662606856833549,0.0806586274431525,0.112212783817964,0.144954555308584,0.112212783817964,0.446051306134479,0,991.014526357209,0.001282125886,717088.418760455,1e-04,"1_382_4",1,382,4,2671,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"12","x.1.",4350.31637988698,186822.523691286,0.027035504029436,893.887673164046,0.0208927500639766,186822.523691286,0.027035504029436,893.887673164046,0.0208927500639766,TRUE,0.74641148325,0.818412421913858,0.806193990967692,0.662606856833549,0.0806586274431525,0.112212783817964,0.144954555308584,0.112212783817964,0.446051306134479,0,991.014526357209,0.001282125886,717088.418760455,1e-04,"1_382_4",1,382,4,2671,2,179077.69020739,856.831053623878,3356.99305178731,2500.16199816344,487.464303233342,0.389763450996346,0.169972431547371,0.568915308533301,1.04324845532085,0.958544433878363,1,FALSE,1.04474180150784,0.0281994884599623,0.866334414281345,1.22145699288198,0.183441446482384
"13","x.2.",2517.2136539313,115755.446446502,0.0167512287972562,553.853810748811,0.012945171510193,115755.446446502,0.0167512287972562,553.853810748811,0.012945171510193,TRUE,0.74641148325,0.818412421913858,0.806193990967692,0.662606856833549,0.0806586274431525,0.112212783817964,0.144954555308584,0.112212783817964,0.446051306134479,0,991.014526357209,0.001282125886,717088.418760455,1e-04,"1_382_4",1,382,4,2671,2,113445.538835127,542.801621220704,595.32527978549,52.5236585647858,543.484803971159,0.246914758981486,0.105315110344381,1.00125862326814,1.02036137899377,0.98004493367453,1,FALSE,3.32508653876718,0.783085409395161,0,8.28191836262515,0.0150720481529357
