"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",-4570.75975572094,-955288.788945677,-0.138449667696353,0,0,-955288.788945677,-0.138449667696353,0,0,FALSE,0.74641148325,0.802870645393748,0.793335164230333,0.628812981346634,0.0840394902108674,0.11587560404552,0.152040794919052,0.11587560404552,0.00757981646838073,0,1175.11997149659,0.001538891792,717088.418760455,1e-04,"1_178_1",1,178,1,1240,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0.883576351583086,6153735.04441478,0.891858652430054,29443.7083464822,0.783397525368623,6153735.04441478,0.891858652430054,29443.7083464822,0.783397525368623,TRUE,0.74641148325,0.802870645393748,0.793335164230333,0.628812981346634,0.0840394902108674,0.11587560404552,0.152040794919052,0.11587560404552,0.00757981646838073,0,1175.11997149659,0.001538891792,717088.418760455,1e-04,"1_178_1",1,178,1,1240,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.776409714182456,-1315.2686917863,-0.000190621428217752,-6.29315163534117,-0.000167439486897539,-1315.2686917863,-0.000190621428217752,-6.29315163534117,-0.000167439486897539,FALSE,0.74641148325,0.802870645393748,0.793335164230333,0.628812981346634,0.0840394902108674,0.11587560404552,0.152040794919052,0.11587560404552,0.00757981646838073,0,1175.11997149659,0.001538891792,717088.418760455,1e-04,"1_178_1",1,178,1,1240,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","ct.1.",12.9503772963976,1394891.92680883,0.202161195623526,6674.12405171689,0.177575874770642,1394891.92680883,0.202161195623526,6674.12405171689,0.177575874770642,TRUE,0.74641148325,0.802870645393748,0.793335164230333,0.628812981346634,0.0840394902108674,0.11587560404552,0.152040794919052,0.11587560404552,0.00757981646838073,0,1175.11997149659,0.001538891792,717088.418760455,1e-04,"1_178_1",1,178,1,1240,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","x.1.",618.759259656947,119834.618651501,0.0173675890712908,573.37138110766,0.0152554737939658,119834.618651501,0.0173675890712908,573.37138110766,0.0152554737939658,TRUE,0.74641148325,0.802870645393748,0.793335164230333,0.628812981346634,0.0840394902108674,0.11587560404552,0.152040794919052,0.11587560404552,0.00757981646838073,0,1175.11997149659,0.001538891792,717088.418760455,1e-04,"1_178_1",1,178,1,1240,5,179077.69020739,856.831053623878,1655.91859881514,799.087545191258,614.039687684253,0.389763450996346,0.389229435084674,0.716640328437253,0.669176704885573,1.49437359773454,1,FALSE,0.70644902260955,0.0109568149637711,0.623393727214046,0.790472801558149,0.625625015584492
"6","x.2.",694.958529861536,74457.4877233272,0.0107910974692556,356.255922121183,0.00947876553127846,74457.4877233272,0.0107910974692556,356.255922121183,0.00947876553127846,TRUE,0.74641148325,0.802870645393748,0.793335164230333,0.628812981346634,0.0840394902108674,0.11587560404552,0.152040794919052,0.11587560404552,0.00757981646838073,0,1175.11997149659,0.001538891792,717088.418760455,1e-04,"1_178_1",1,178,1,1240,5,113445.538835127,542.801621220704,823.731350136882,280.929728916177,377.397997600042,0.246914758981486,0.241842017027286,0.695277948417534,0.656328036235412,1.52362834556913,1,FALSE,0.708751071818951,0.0156048885068554,0.590343053790964,0.828300008945289,0.314052379085439
"7","x.3.",3893.19783723824,113584.451381992,0.0164617545304445,543.466274554985,0.0144598000223891,113584.451381992,0.0164617545304445,543.466274554985,0.0144598000223891,TRUE,0.74641148325,0.802870645393748,0.793335164230333,0.628812981346634,0.0840394902108674,0.11587560404552,0.152040794919052,0.11587560404552,0.00757981646838073,0,1175.11997149659,0.001538891792,717088.418760455,1e-04,"1_178_1",1,178,1,1240,5,166929.009872181,798.703396517614,891.83840381575,93.1350072981361,57.7774188492396,0.363321790022168,0.36892854788804,0.0723390173387918,0.680435662255257,1.46964666238329,1,FALSE,0.716362652746097,0.0106953704790224,0.635136722453779,0.798229063185183,3.27155062543149e-06
"8","(Intercept)",-4328.84884815197,-904729.409263763,-0.131290818355391,0,0,-904729.409263763,-0.131290818355391,0,0,FALSE,0.74641148325,0.799788992899422,0.788750480256622,0.594737114900987,0.0846938224957307,0.117153854669061,0.158866437857018,0.117153854669061,0.00148874107462951,0,1311.19003224978,0.001728664302,717088.418760455,1e-04,"1_182_1",1,182,1,1268,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"9","trend",0.872668672079454,6077767.67668874,0.881982042228248,29080.2281181279,0.779624503193993,6077767.67668874,0.881982042228248,29080.2281181279,0.779624503193993,TRUE,0.74641148325,0.799788992899422,0.788750480256622,0.594737114900987,0.0846938224957307,0.117153854669061,0.158866437857018,0.117153854669061,0.00148874107462951,0,1311.19003224978,0.001728664302,717088.418760455,1e-04,"1_182_1",1,182,1,1268,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"10","season",0.763267476828783,-1293.00522313624,-0.000187635896595311,-6.18662786189587,-0.000165860001293112,-1293.00522313624,-0.000187635896595311,-6.18662786189587,-0.000165860001293112,FALSE,0.74641148325,0.799788992899422,0.788750480256622,0.594737114900987,0.0846938224957307,0.117153854669061,0.158866437857018,0.117153854669061,0.00148874107462951,0,1311.19003224978,0.001728664302,717088.418760455,1e-04,"1_182_1",1,182,1,1268,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
