"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",11061.1734811128,2311785.25755257,0.338699236517881,11061.1734811128,0.338456993367009,2311785.25755257,0.338699236517881,11061.1734811128,0.338456993367009,TRUE,0.74641148325,0.798457250461909,0.749338712921089,0.0616037569533766,0.0849750343499536,0.127615183741079,0.241744650254358,0.127615183741079,0.00262775390995954,0,1042.41708287662,0.001353815368,717088.418760455,1e-04,"1_328_2",1,328,2,2291,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0.253903553867636,1768330.7102293,0.25907780989133,8460.91248913539,0.258892513267593,1768330.7102293,0.25907780989133,8460.91248913539,0.258892513267593,TRUE,0.74641148325,0.798457250461909,0.749338712921089,0.0616037569533766,0.0849750343499536,0.127615183741079,0.241744650254358,0.127615183741079,0.00262775390995954,0,1042.41708287662,0.001353815368,717088.418760455,1e-04,"1_328_2",1,328,2,2291,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.81286571725972,-1377.02659949831,-0.000201747915984487,-6.58864401673834,-0.000201603622624536,-1377.02659949831,-0.000201747915984487,-6.58864401673834,-0.000201603622624536,FALSE,0.74641148325,0.798457250461909,0.749338712921089,0.0616037569533766,0.0849750343499536,0.127615183741079,0.241744650254358,0.127615183741079,0.00262775390995954,0,1042.41708287662,0.001353815368,717088.418760455,1e-04,"1_328_2",1,328,2,2291,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","ct.1.",12.9597041362555,1395896.52561878,0.204512545419367,6678.93074458748,0.204366274751903,1395896.52561878,0.204512545419367,6678.93074458748,0.204366274751903,TRUE,0.74641148325,0.798457250461909,0.749338712921089,0.0616037569533766,0.0849750343499536,0.127615183741079,0.241744650254358,0.127615183741079,0.00262775390995954,0,1042.41708287662,0.001353815368,717088.418760455,1e-04,"1_328_2",1,328,2,2291,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","x.1.",4225.80154434387,523627.393052719,0.076716553869957,2517.43938967653,0.0770302507476702,523627.393052719,0.076716553869957,2517.43938967653,0.0770302507476702,TRUE,0.74641148325,0.798457250461909,0.749338712921089,0.0616037569533766,0.0849750343499536,0.127615183741079,0.241744650254358,0.127615183741079,0.00262775390995954,0,1042.41708287662,0.001353815368,717088.418760455,1e-04,"1_328_2",1,328,2,2291,6,179077.69020739,856.831053623878,64195.3177360018,64195.3177360018,2926.51682241254,0.389763450996346,0.387629316897927,3.41551208961807,2.92402360364546,0.341994503311558,1,FALSE,2.19784884954903,0.258363935089115,0.60576907732803,3.81378104367212,1
"6","x.2.",2317.74418828571,334726.576447614,0.0490407296761961,1601.562566735,0.0490056549562175,334726.576447614,0.0490407296761961,1601.562566735,0.0490056549562175,TRUE,0.74641148325,0.798457250461909,0.749338712921089,0.0616037569533766,0.0849750343499536,0.127615183741079,0.241744650254358,0.127615183741079,0.00262775390995954,0,1042.41708287662,0.001353815368,717088.418760455,1e-04,"1_328_2",1,328,2,2291,6,113445.538835127,542.801621220704,31019.4694345541,30967.7747267447,1903.13721982431,0.246914758981486,0.247790386632632,3.5061376853377,2.95054860582997,0.338920022542285,1,FALSE,2.20846236692212,0.262577142091025,0.590401916870956,3.85072775772756,0.998995507125305
"7","x.3.",6614.69936936426,492491.723088505,0.0721548725412525,2367.74866869474,0.0724499165322319,492491.723088505,0.0721548725412525,2367.74866869474,0.0724499165322319,TRUE,0.74641148325,0.798457250461909,0.749338712921089,0.0616037569533766,0.0849750343499536,0.127615183741079,0.241744650254358,0.127615183741079,0.00262775390995954,0,1042.41708287662,0.001353815368,717088.418760455,1e-04,"1_328_2",1,328,2,2291,6,166929.009872181,798.703396517614,65684.221689406,65684.221689406,2311.56126061486,0.363321790022168,0.36458029646944,2.89414226944993,2.95030638153075,0.338947848352332,1,FALSE,2.21297694912857,0.262275481732384,0.596818592106051,3.85339882489256,1
"8","(Intercept)",17414.0001562581,3639526.03265794,0.540356002168382,17414.0001562581,0.539940794100132,3639526.03265794,0.540356002168382,17414.0001562581,0.539940794100132,TRUE,0.74641148325,0.609218024874684,0.408474813105455,-0.761695566666331,0.118324593479726,0.196040290847897,0.33122962473428,0.196040290847897,0.00240012027993829,0,14048.6268493123,0.0194931552,717088.418760455,1e-04,"2_239_6",2,239,6,1672,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"9","trend",0.195334535182769,1360422.30236811,0.20198024412302,6509.19761898617,0.201825043058073,1360422.30236811,0.20198024412302,6509.19761898617,0.201825043058073,TRUE,0.74641148325,0.609218024874684,0.408474813105455,-0.761695566666331,0.118324593479726,0.196040290847897,0.33122962473428,0.196040290847897,0.00240012027993829,0,14048.6268493123,0.0194931552,717088.418760455,1e-04,"2_239_6",2,239,6,1672,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"10","season",0.386993656621192,-655.582524504757,-9.73335398219803e-05,-3.13675849045338,-9.72587489972587e-05,-655.582524504757,-9.73335398219803e-05,-3.13675849045338,-9.72587489972587e-05,FALSE,0.74641148325,0.609218024874684,0.408474813105455,-0.761695566666331,0.118324593479726,0.196040290847897,0.33122962473428,0.196040290847897,0.00240012027993829,0,14048.6268493123,0.0194931552,717088.418760455,1e-04,"2_239_6",2,239,6,1672,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
