"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","x.1.",1,5,2.19784884954903,0.258363935089115,"[0.61, 3.81]",0.60576907732803,3.81378104367212,0.516727870178231,0.0428431081484904
"2","x.1.",2,8,1.06943804331969,0.049813856345961,"[0.74, 1.4]",0.735438546125167,1.40176536360165,0.13179507573651,0.00939310069645964
"3","x.1.",3,54,2.68670141192833,0.00996232177305448,"[2.54, 2.83]",2.54033502904002,2.83400759253321,0.0725267972602086,0.00443157735367273
"4","x.1.",4,4,2.01468587567885,0.231368618345107,"[0.56, 3.5]",0.556406579386323,3.50167939783026,0.400742202250739,0.0378460325550041
"5","x.1.",5,22,2.64354381326693,0.0147767280319939,"[2.5, 2.79]",2.49999988018522,2.78827178396113,0.0677154747303879,0.00427982680037059
"6","x.1.",6,26,2.6739306030493,0.0136422448686489,"[2.53, 2.82]",2.53116408962621,2.81769563108542,0.0682112243432444,0.00427226252672422
"7","x.2.",1,5,2.20846236692212,0.262577142091025,"[0.59, 3.85]",0.590401916870956,3.85072775772756,0.52515428418205,0.0435417617093
"8","x.2.",2,8,1.07219482993912,0.0505540456148366,"[0.73, 1.41]",0.733216666414575,1.40944450332699,0.133753432465073,0.00953267375598549
"9","x.2.",3,54,2.69314512158771,0.010393966163657,"[2.54, 2.85]",2.54028946764915,2.84668618496846,0.0756692158568867,0.00462358736397052
"10","x.2.",4,4,2.01679556638868,0.224995825011363,"[0.6, 3.46]",0.59875444705635,3.46290297510304,0.389704200410557,0.036803605342099
"11","x.2.",5,22,2.6476942752409,0.0133908797893415,"[2.52, 2.78]",2.51699796286884,2.77823403635886,0.0613647202567119,0.00387843953538824
"12","x.2.",6,26,2.63256669777404,0.0147249790717918,"[2.48, 2.79]",2.47797610276122,2.78724858628709,0.0736248953589588,0.00461133610347259
"13","x.3.",1,5,2.21297694912857,0.262275481732384,"[0.6, 3.85]",0.596818592106051,3.85339882489256,0.524550963464768,0.0434917389870307
"14","x.3.",2,8,1.07101285695711,0.0498272573323532,"[0.74, 1.4]",0.736910606114616,1.40341667967101,0.131830531413826,0.0093956276402429
"15","x.3.",3,54,2.73520774506429,0.0153361373150192,"[2.51, 2.96]",2.50962678185352,2.9617104288169,0.111648764930435,0.00682203208913384
"16","x.3.",4,4,2.024824713233,0.233512752570278,"[0.55, 3.53]",0.553050493628055,3.52561768024369,0.404455951666981,0.0381967584843394
"17","x.3.",5,22,2.82653681966079,0.030279415106527,"[2.53, 3.12]",2.5299632520409,3.12066943673082,0.138757711724649,0.00876991523372946
"18","x.3.",6,26,2.85264540996779,0.0229282395954339,"[2.61, 3.09]",2.61172202960438,3.0932896819578,0.114641197977169,0.00718030351826019
