"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",25792.1759578256,5390564.77518556,0.836109362057929,25792.1759578256,0.836052303589354,5390564.77518556,0.836109362057929,25792.1759578256,0.836052303589354,TRUE,0.74641148325,0.232484481070657,-1.04736675764717,-5.54345516377394,0.165825510142489,0.364717448714818,0.638362412465587,0.364717448714818,0.00210489952278602,0,88752.1726184094,0.1236797728,717088.418760455,1e-04,"1_34_1",1,34,1,232,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"2","trend",0.0755108648537622,525901.190601263,0.0815704712432458,2516.27363924049,0.0815649046434908,525901.190601263,0.0815704712432458,2516.27363924049,0.0815649046434908,TRUE,0.74641148325,0.232484481070657,-1.04736675764717,-5.54345516377394,0.165825510142489,0.364717448714818,0.638362412465587,0.364717448714818,0.00210489952278602,0,88752.1726184094,0.1236797728,717088.418760455,1e-04,"1_34_1",1,34,1,232,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"3","season",0.0953366699885008,-161.50408080233,-2.50502646014008e-05,-0.772746798097275,-2.50485551004666e-05,-161.50408080233,-2.50502646014008e-05,-0.772746798097275,-2.50485551004666e-05,FALSE,0.74641148325,0.232484481070657,-1.04736675764717,-5.54345516377394,0.165825510142489,0.364717448714818,0.638362412465587,0.364717448714818,0.00210489952278602,0,88752.1726184094,0.1236797728,717088.418760455,1e-04,"1_34_1",1,34,1,232,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"4","ct.1.",1.50133723447603,161709.82048304,0.0250821760764247,773.731198483447,0.0250804643977612,161709.82048304,0.0250821760764247,773.731198483447,0.0250804643977612,TRUE,0.74641148325,0.232484481070657,-1.04736675764717,-5.54345516377394,0.165825510142489,0.364717448714818,0.638362412465587,0.364717448714818,0.00210489952278602,0,88752.1726184094,0.1236797728,717088.418760455,1e-04,"1_34_1",1,34,1,232,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"5","x.1.",1007.64907294653,143263.203914378,0.0222209937227036,685.469875188411,0.0222194772992194,143263.203914378,0.0222209937227036,685.469875188411,0.0222194772992194,TRUE,0.74641148325,0.232484481070657,-1.04736675764717,-5.54345516377394,0.165825510142489,0.364717448714818,0.638362412465587,0.364717448714818,0.00210489952278602,0,88752.1726184094,0.1236797728,717088.418760455,1e-04,"1_34_1",1,34,1,232,1,179077.69020739,856.831053623878,63263.9283478138,63219.0840448658,856.785459163937,0.389763450996346,0.388051234766812,0.999946787106106,0.800005873140671,1.24999082328507,6,FALSE,2.41184442347999,0.221024449659273,0.431298525097841,4.38816195263281,0.999584425085493
"6","x.2.",1019.90926640475,91521.0894115879,0.0141954772596412,440.005237555711,0.0142627513495316,91521.0894115879,0.0141954772596412,440.005237555711,0.0142627513495316,TRUE,0.74641148325,0.232484481070657,-1.04736675764717,-5.54345516377394,0.165825510142489,0.364717448714818,0.638362412465587,0.364717448714818,0.00210489952278602,0,88752.1726184094,0.1236797728,717088.418760455,1e-04,"1_34_1",1,34,1,232,1,113445.538835127,542.801621220704,37807.6060858821,37807.6060858821,280.530633721884,0.246914758981486,0.247899466038719,0.516819815480654,0.806740312147465,1.23955625489706,6,FALSE,2.36753121140886,0.2151475817148,0.438486151349468,4.29013966263405,1
"7","x.3.",1021.37435962769,134402.017859122,0.0208465699046573,643.071855785275,0.0208451472757433,134402.017859122,0.0208465699046573,643.071855785275,0.0208451472757433,TRUE,0.74641148325,0.232484481070657,-1.04736675764717,-5.54345516377394,0.165825510142489,0.364717448714818,0.638362412465587,0.364717448714818,0.00210489952278602,0,88752.1726184094,0.1236797728,717088.418760455,1e-04,"1_34_1",1,34,1,232,1,166929.009872181,798.703396517614,43975.8317573276,43975.3478709932,841.014286595412,0.363321790022168,0.364049299194469,1.05297447120205,0.805144761608753,1.24201267608313,6,FALSE,2.45974270481662,0.226208258156156,0.433238622467623,4.48290455347349,0.999994557699287
"8","(Intercept)",25036.8554476101,5232702.78855051,0.809200616772688,25036.8554476101,0.809138059309225,5232702.78855051,0.809200616772688,25036.8554476101,0.809138059309225,TRUE,0.74641148325,0.271118964903373,-0.907677111367138,-5.13624812417651,0.161598038315965,0.352055514962538,0.618180352743067,0.352055514962538,0.00620160670656745,0,71499.5524141655,0.09961810176,717088.418760455,1e-04,"1_83_5",1,83,5,579,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"9","trend",0.0883664257611277,615434.727266798,0.0951726442360345,2944.66376682678,0.0951652866548723,615434.727266798,0.0951726442360345,2944.66376682678,0.0951652866548723,TRUE,0.74641148325,0.271118964903373,-0.907677111367138,-5.13624812417651,0.161598038315965,0.352055514962538,0.618180352743067,0.352055514962538,0.00620160670656745,0,71499.5524141655,0.09961810176,717088.418760455,1e-04,"1_83_5",1,83,5,579,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"10","season",0.115490800906294,-195.645973828808,-3.02552713365972e-05,-0.936105137936881,-3.02529323702248e-05,-195.645973828808,-3.02552713365972e-05,-0.936105137936881,-3.02529323702248e-05,FALSE,0.74641148325,0.271118964903373,-0.907677111367138,-5.13624812417651,0.161598038315965,0.352055514962538,0.618180352743067,0.352055514962538,0.00620160670656745,0,71499.5524141655,0.09961810176,717088.418760455,1e-04,"1_83_5",1,83,5,579,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"11","ct.1.",1.81866255838897,195889.097454476,0.0302928686922645,937.268408873091,0.0302905268193258,195889.097454476,0.0302928686922645,937.268408873091,0.0302905268193258,TRUE,0.74641148325,0.271118964903373,-0.907677111367138,-5.13624812417651,0.161598038315965,0.352055514962538,0.618180352743067,0.352055514962538,0.00620160670656745,0,71499.5524141655,0.09961810176,717088.418760455,1e-04,"1_83_5",1,83,5,579,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"12","x.1.",1071.64421816638,163107.488605432,0.0252234238620537,780.418605767617,0.0252214738963913,163107.488605432,0.0252234238620537,780.418605767617,0.0252214738963913,TRUE,0.74641148325,0.271118964903373,-0.907677111367138,-5.13624812417651,0.161598038315965,0.352055514962538,0.618180352743067,0.352055514962538,0.00620160670656745,0,71499.5524141655,0.09961810176,717088.418760455,1e-04,"1_83_5",1,83,5,579,5,179077.69020739,856.831053623878,69498.0111282828,69285.7086276195,1012.8586208284,0.389763450996346,0.385890940052528,1.18209840381557,0.91081970298219,1.09791212983845,6,FALSE,2.41184442347999,0.221024449659273,0.431298525097841,4.38816195263281,0.998255966959611
"13","x.2.",1108.09807272737,103989.550104173,0.0160812512161656,499.949760116216,0.016157315741948,103989.550104173,0.0160812512161656,499.949760116216,0.016157315741948,TRUE,0.74641148325,0.271118964903373,-0.907677111367138,-5.13624812417651,0.161598038315965,0.352055514962538,0.618180352743067,0.352055514962538,0.00620160670656745,0,71499.5524141655,0.09961810176,717088.418760455,1e-04,"1_83_5",1,83,5,579,5,113445.538835127,542.801621220704,38487.1296834841,38487.1296834841,342.089359229818,0.246914758981486,0.24602564596168,0.630229066855944,0.916647328506264,1.09093210540368,6,FALSE,2.36753121140886,0.2151475817148,0.438486151349468,4.29013966263405,1
"14","x.3.",1279.96651658819,155580.644739583,0.0240594504921303,744.404998753988,0.0240575905106079,155580.644739583,0.0240594504921303,744.404998753988,0.0240575905106079,TRUE,0.74641148325,0.271118964903373,-0.907677111367138,-5.13624812417651,0.161598038315965,0.352055514962538,0.618180352743067,0.352055514962538,0.00620160670656745,0,71499.5524141655,0.09961810176,717088.418760455,1e-04,"1_83_5",1,83,5,579,5,166929.009872181,798.703396517614,42725.6449125076,42724.5706857487,859.500738469585,0.363321790022168,0.368083413985793,1.07612004934128,0.932016818758541,1.07294201120964,6,FALSE,2.45974270481662,0.226208258156156,0.433238622467623,4.48290455347349,0.999984131344444
"15","(Intercept)",11390.8086035076,2380678.99813309,0.345794517470819,11390.8086035076,0.345578952278505,2380678.99813309,0.345794517470819,11390.8086035076,0.345578952278505,TRUE,0.74641148325,0.799584019862161,0.768792764224509,0.475737379576085,0.0847371655400122,0.122563012827509,0.180691693729303,0.122563012827509,0.0193941126163498,0,1070.04822380035,0.001392351626,717088.418760455,1e-04,"1_262_2",1,262,2,1829,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
"16","trend",0.248955924102323,1733872.56451382,0.251845640370719,8296.04097853504,0.251688642063467,1733872.56451382,0.251845640370719,8296.04097853504,0.251688642063467,TRUE,0.74641148325,0.799584019862161,0.768792764224509,0.475737379576085,0.0847371655400122,0.122563012827509,0.180691693729303,0.122563012827509,0.0193941126163498,0,1070.04822380035,0.001392351626,717088.418760455,1e-04,"1_262_2",1,262,2,1829,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
"17","season",0.795253396220231,-1347.19063270168,-0.000195679944730727,-6.4458881947449,-0.000195557959613015,-1347.19063270168,-0.000195679944730727,-6.4458881947449,-0.000195557959613015,FALSE,0.74641148325,0.799584019862161,0.768792764224509,0.475737379576085,0.0847371655400122,0.122563012827509,0.180691693729303,0.122563012827509,0.0193941126163498,0,1070.04822380035,0.001392351626,717088.418760455,1e-04,"1_262_2",1,262,2,1829,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
"18","ct.1.",12.9401369848257,1393788.93748174,0.202448365979041,6668.84659082173,0.202322161488394,1393788.93748174,0.202448365979041,6668.84659082173,0.202322161488394,TRUE,0.74641148325,0.799584019862161,0.768792764224509,0.475737379576085,0.0847371655400122,0.122563012827509,0.180691693729303,0.122563012827509,0.0193941126163498,0,1070.04822380035,0.001392351626,717088.418760455,1e-04,"1_262_2",1,262,2,1829,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
"19","x.1.",3647.77283903772,532304.664664359,0.0773174522098204,2559.15704165557,0.0776407399997187,532304.664664359,0.0773174522098204,2559.15704165557,0.0776407399997187,TRUE,0.74641148325,0.799584019862161,0.768792764224509,0.475737379576085,0.0847371655400122,0.122563012827509,0.180691693729303,0.122563012827509,0.0193941126163498,0,1070.04822380035,0.001392351626,717088.418760455,1e-04,"1_262_2",1,262,2,1829,4,179077.69020739,856.831053623878,69865.3495309957,69865.3495309957,3532.85111825691,0.389763450996346,0.386380246001052,4.1231595228897,2.97247895060459,0.336419539588868,3,TRUE,2.9786292960642,0.0642184758585793,2.50328092283039,3.46044614885894,1
"20","x.2.",8519.78988498058,360954.38475256,0.0524287597791923,1735.35761900269,0.0526479803741768,360954.38475256,0.0524287597791923,1735.35761900269,0.0526479803741768,TRUE,0.74641148325,0.799584019862161,0.768792764224509,0.475737379576085,0.0847371655400122,0.122563012827509,0.180691693729303,0.122563012827509,0.0193941126163498,0,1070.04822380035,0.001392351626,717088.418760455,1e-04,"1_262_2",1,262,2,1829,4,113445.538835127,542.801621220704,44527.7616224367,44527.7616224367,984.345637113332,0.246914758981486,0.262003422539593,1.81345375295608,3.18174155157518,0.314293283659363,3,TRUE,3.0199311687182,0.0710494002846847,2.4879820048416,3.54696097270818,1
"21","x.3.",7078.36507108641,484411.44531875,0.0703609441351384,2317.75811157297,0.0703170817553505,484411.44531875,0.0703609441351384,2317.75811157297,0.0703170817553505,TRUE,0.74641148325,0.799584019862161,0.768792764224509,0.475737379576085,0.0847371655400122,0.122563012827509,0.180691693729303,0.122563012827509,0.0193941126163498,0,1070.04822380035,0.001392351626,717088.418760455,1e-04,"1_262_2",1,262,2,1829,4,166929.009872181,798.703396517614,42376.3777298913,42376.2450902968,2208.54990679013,0.363321790022168,0.351616331459355,2.76516904325125,2.90190090799477,0.344601704780818,3,TRUE,2.95691382542118,0.038179204839578,2.67489884053666,3.24395325581648,0.99999703596231
"22","(Intercept)",14810.6844828976,3095433.05692559,0.458688171070113,14810.6844828976,0.458596538661007,3095433.05692559,0.458688171070113,14810.6844828976,0.458596538661007,TRUE,0.74641148325,0.705711489442912,0.55945725372532,-0.59756215725642,0.10268202213849,0.169181450781589,0.315422466969475,0.169181450781589,0.00554945193459131,0,7351.59930885108,0.01015302763,717088.418760455,1e-04,"2_44_1",2,44,1,302,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"23","trend",0.233008841570072,1622807.88916453,0.240471290766125,7764.63104863411,0.240423251673156,1622807.88916453,0.240471290766125,7764.63104863411,0.240423251673156,TRUE,0.74641148325,0.705711489442912,0.55945725372532,-0.59756215725642,0.10268202213849,0.169181450781589,0.315422466969475,0.169181450781589,0.00554945193459131,0,7351.59930885108,0.01015302763,717088.418760455,1e-04,"2_44_1",2,44,1,302,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
