"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","x.1.",1,41,2.76866550337192,0.0900427355351384,"[1.61, 3.94]",1.60653286970325,3.93705439476874,0.569480262086436,0.0350452732246299
"2","x.1.",2,18,2.74831304741463,0.0902994955888162,"[1.94, 3.56]",1.94325209341896,3.55982787121663,0.372314358252685,0.0238505504475055
"3","x.1.",3,3,2.9786292960642,0.0642184758585793,"[2.5, 3.46]",2.50328092283039,3.46044614885894,0.090818639514132,0.0115030556066345
"4","x.1.",4,31,2.86615539960755,0.034163029861612,"[2.48, 3.25]",2.47653065999285,3.25345889232049,0.187118620879275,0.0116279340816787
"5","x.1.",6,18,2.41184442347999,0.221024449659273,"[0.43, 4.39]",0.431298525097841,4.38816195263281,0.911307151789197,0.058378562940539
"6","x.1.",7,10,2.81263080116961,0.095749828442615,"[2.13, 3.5]",2.13078954141435,3.50069556185298,0.287249485327845,0.0196404544554981
"7","x.2.",1,41,1.86368618477748,0.0908802105684157,"[0.69, 3.04]",0.687349796357109,3.03954717989311,0.574776919263799,0.0353712244652889
"8","x.2.",2,18,2.59541947879625,0.138838945217034,"[1.36, 3.84]",1.35680648024325,3.84235387327468,0.572447636079176,0.0366711380322201
"9","x.2.",3,3,3.0199311687182,0.0710494002846847,"[2.49, 3.55]",2.4879820048416,3.54696097270818,0.100479025481076,0.0127266365538256
"10","x.2.",4,31,2.92821373738005,0.0306508708285166,"[2.58, 3.28]",2.58022575619122,3.2772812278097,0.167881733599556,0.010432514533511
"11","x.2.",6,18,2.36753121140886,0.2151475817148,"[0.44, 4.29]",0.438486151349468,4.29013966263405,0.887076204506326,0.0568263224272448
"12","x.2.",7,10,2.7165965215158,0.0987167704643453,"[2.01, 3.43]",2.0135508826391,3.42590535237491,0.296150311393036,0.0202490413386048
"13","x.3.",1,41,3.48142550652833,0.0469241522037668,"[2.87, 4.09]",2.87227062854877,4.08678000686116,0.296774396472625,0.0182632138510873
"14","x.3.",2,18,2.68220330479804,0.0918852097971649,"[1.86, 3.51]",1.86106284606584,3.50602668033061,0.37885242542575,0.0242693806577401
"15","x.3.",3,3,2.95691382542118,0.038179204839578,"[2.67, 3.24]",2.67489884053666,3.24395325581648,0.0539935492847517,0.00683880317019517
"16","x.3.",4,31,2.7219170735582,0.036467036803631,"[2.31, 3.14]",2.30571781182464,3.13504327144694,0.199738186627198,0.0124121397260273
"17","x.3.",6,18,2.45974270481662,0.226208258156156,"[0.43, 4.48]",0.433238622467623,4.48290455347349,0.932680541764818,0.0597477476215708
"18","x.3.",7,10,2.86744361021397,0.0993106526483439,"[2.16, 3.58]",2.15892151909753,3.57977274326646,0.297931957945032,0.0203708600005959
