"","X","y_sim.1.","x.1.","x.2.","x.3.","ct.1.","fake_date"
"1","t= 0",23660.0441906369,500.57655459548,610.464488632687,513.2671560725,637.549712089822,2000-01-07
"2","t= 1",20524.9541963631,1083.23810071222,731.102682350689,1482.31883156069,449.11215081811,2000-01-14
"3","t= 2",24004.5817301281,249.875782237051,102.77084250079,859.058662925925,700.124430470169,2000-01-21
"4","t= 3",14487.7718324006,1096.55420308761,247.119116922018,572.540083874516,105.569535167888,2000-01-28
"5","t= 4",14558.765791647,598.098742126131,524.13095934795,202.35164352737,320.395126007497,2000-02-04
"6","t= 5",18467.7673075568,593.712140831146,803.737609903385,420.678010698749,948.90741026029,2000-02-11
"7","t= 6",19790.5172662881,244.372898639229,301.515462810564,975.071326101982,730.917683336884,2000-02-18
"8","t= 7",27976.0961449868,686.063706506399,447.433399127088,637.332884207625,835.327925393358,2000-02-25
"9","t= 8",19926.9196689265,1749.52162403732,405.926372523136,740.667776973891,199.167216196656,2000-03-03
"10","t= 9",31428.6790038756,953.845325341875,1126.96621440156,2489.12608412108,860.834878170863,2000-03-10
"11","t= 10",15183.4643969369,1036.11905165523,735.293814594331,1142.21230896246,507.182498695329,2000-03-17
"12","t= 11",10336.7817389397,337.207403023718,426.744602296143,1048.93258373295,359.652695944533,2000-03-24
"13","t= 12",26120.1074915979,1199.29491173632,504.26387714353,2185.44276888011,959.377801744267,2000-03-31
"14","t= 13",15019.5973973808,262.503363316233,1036.94090253454,644.249899631979,154.929093550891,2000-04-07
"15","t= 14",15024.8563529988,567.632325531596,527.052135742499,882.521494371694,30.7096985634416,2000-04-14
"16","t= 15",39170.5425505682,1366.39195841826,527.453136462124,352.591102479784,909.147134982049,2000-04-21
"17","t= 16",24186.6241812839,914.298034597011,227.258625349607,1260.21099822561,738.589110551402,2000-04-28
"18","t= 17",27304.1939710674,1178.79205850543,558.295884056154,1464.67838526569,438.189033651724,2000-05-05
"19","t= 18",28449.7631688421,1550.68179536227,592.863599421162,750.870658308071,189.050668152049,2000-05-12
"20","t= 19",22757.888561978,395.619363922784,811.773248367094,659.467950919845,822.935078758746,2000-05-19
"21","t= 20",27788.0469586691,104.225572876328,336.239070686721,1947.20851198184,662.034624023363,2000-05-26
"22","t= 21",24928.9121763818,128.740234182972,765.431094882398,688.54532217057,813.064478104934,2000-06-02
"23","t= 22",31254.867020432,1742.80363534595,275.392274780521,779.414830340866,328.528424957767,2000-06-09
"24","t= 23",28728.1131265519,485.09394996795,719.6851381366,963.078103934547,557.690748013556,2000-06-16
"25","t= 24",25307.8298459171,1091.20889071413,586.915544388043,1278.26853911963,192.786977393553,2000-06-23
"26","t= 25",25662.8112328148,1086.66792095797,254.973464146527,320.632725418573,206.494029611349,2000-06-30
"27","t= 26",22268.0849953346,660.728962695031,301.409445208285,184.008681840124,332.682704087347,2000-07-07
"28","t= 27",26621.6700589293,1196.53024820462,408.512125938691,1255.31746476826,108.076428063214,2000-07-14
"29","t= 28",37042.5668318963,1958.25845049114,127.640237474695,1453.54481603093,405.549333430827,2000-07-21
"30","t= 29",49455.5733851854,1877.05468557341,462.770971103937,1746.18269695644,989.754277979955,2000-07-28
