"";"t_ind";"semana_ano";"semana_mes";"mes";"ano";"Data";"y_sim[1]";"Y_signal";"x[1]";"x[2]";"x[3]";"ct[1]";"General_Params";"beta_0";"sigma_e";"M";"C";"C_used";"Generation_Adstock_Method";"TEMPORAL";"Y_temporal";"RE_Signal_Y_temporal";"RE_Signal_basalTrend";"trend";"RE_Temporal_trend";"seasonal";"Temporal_Params";"Trend_Method";"tau";"sigma_psi";"psi[1]";"psi[2]";"psi[3]";"psi[4]";"psi[5]";"psi[6]";"psi[7]";"psi[8]";"psi[9]";"psi[10]";"psi[11]";"psi[12]";"MARKETING";"Y_Marketing";"RE_Signal_Y_Marketing";"Channel[1]";"x[1]";"x_pre_ads[1]";"x_ads[1]";"x_sat[1]";"x_hilladstocked[1]";"Params_Channel[1]";"beta_x[1]";"theta_x[1]";"shape_x[1]";"scale_x[1]";"lambda_x[1]";"gamma_w_x[1]";"alpha_x[1]";"w_x[1]";"ROI_x[1]";"RE_advertising_x[1]";"RE_Signal_x[1]";"Channel[2]";"x[2]";"x_pre_ads[2]";"x_ads[2]";"x_sat[2]";"x_hilladstocked[2]";"Params_Channel[2]";"beta_x[2]";"theta_x[2]";"shape_x[2]";"scale_x[2]";"lambda_x[2]";"gamma_w_x[2]";"alpha_x[2]";"w_x[2]";"ROI_x[2]";"RE_advertising_x[2]";"RE_Signal_x[2]";"Channel[3]";"x[3]";"x_pre_ads[3]";"x_ads[3]";"x_sat[3]";"x_hilladstocked[3]";"Params_Channel[3]";"beta_x[3]";"theta_x[3]";"shape_x[3]";"scale_x[3]";"lambda_x[3]";"gamma_w_x[3]";"alpha_x[3]";"w_x[3]";"ROI_x[3]";"RE_advertising_x[3]";"RE_Signal_x[3]";"CONTROL";"Y_Control";"RE_Signal_Y_Control";"Control[1]";"ct[1]";"ct_impact[1]";"params_Control[1]";"beta_ct[1]";"RE_Signal_ct[1]";"fake_date"
"t= -3";-3;50;3;12;1999;NA;21697,6768309734;20212,3175579878;1072,04084981412;401,447109086458;1478,0774574073;690,019911620766;NA;7000;3500;3;1;1;2;NA;3675;0,602927017695467;0,208377957837389;125;0,657277268651676;-3450;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;6187,01888367632;0,166540648436145;NA;1072,04084981412;1072,04084981412;859,007091197212;0,107857668941122;1617,86503411683;NA;15000;0,2;0,001;0,001;0,001;2000;2,5;0,801282051282051;2,31659820746186;0,355444315968585;0,05919592686435;NA;401,447109086458;401,447109086458;283,307769291784;0,298990130513639;896,970391540916;NA;3000;0,3;0,001;0,001;0,001;500;1,5;0,705716302046577;2,76410244442445;0,268839100802186;0,0447726381725862;NA;1478,0774574073;1478,0774574073;1330,40275194176;0,734436691603714;3672,18345801857;NA;5000;0,1;0,001;0,001;0,001;800;2;0,9000900090009;2,61867903405258;0,375716583229229;0,0625720833992084;NA;10350,2986743115;0,230532333868388;NA;690,019911620766;10350,2986743115;NA;15;0,230532333868388;1999-12-17
"t= -2";-2;51;4;12;1999;NA;16676,1848928426;16055,3423166459;1140,20630963024;1223,18654474175;180,012569304131;454,187326831743;NA;7000;3500;3;1;1;2;NA;3800;0,602927017695467;0,208377957837389;250;0,657277268651676;-3450;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;5442,53241416979;0,166540648436145;NA;1140,20630963024;1354,61447959306;1085,4282689047;0,178296550638935;2674,44825958402;NA;15000;0,2;0,001;0,001;0,001;2000;2,5;0,801282051282051;2,31659820746186;0,355444315968585;0,05919592686435;NA;1223,18654474175;1343,62067746769;948,215015855813;0,723113752765474;2169,34125829642;NA;3000;0,3;0,001;0,001;0,001;500;1,5;0,705716302046577;2,76410244442445;0,268839100802186;0,0447726381725862;NA;180,012569304131;327,820315044861;295,067790319407;0,119748579257869;598,742896289345;NA;5000;0,1;0,001;0,001;0,001;800;2;0,9000900090009;2,61867903405258;0,375716583229229;0,0625720833992084;NA;6812,80990247615;0,230532333868388;NA;454,187326831743;6812,80990247615;NA;15;0,230532333868388;1999-12-24
"t= -1";-1;52;5;12;1999;NA;15088,7615510414;19449,1977197639;689,88317692542;285,956457764156;1581,90835172714;597,018993459642;NA;7000;3500;3;1;1;2;NA;3925;0,602927017695467;0,208377957837389;375;0,657277268651676;-3450;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;6568,91281786923;0,166540648436145;NA;689,88317692542;960,806072844033;769,876660932719;0,0841940421550381;1262,91063232557;NA;15000;0,2;0,001;0,001;0,001;2000;2,5;0,801282051282051;2,31659820746186;0,355444315968585;0,05919592686435;NA;285,956457764156;689,042661004462;486,268638676402;0,489558940766461;1468,67682229938;NA;3000;0,3;0,001;0,001;0,001;500;1,5;0,705716302046577;2,76410244442445;0,268839100802186;0,0447726381725862;NA;1581,90835172714;1614,69038323163;1453,36668157662;0,767465072648854;3837,32536324427;NA;5000;0,1;0,001;0,001;0,001;800;2;0,9000900090009;2,61867903405258;0,375716583229229;0,0625720833992084;NA;8955,28490189463;0,230532333868388;NA;597,018993459642;8955,28490189463;NA;15;0,230532333868388;1999-12-31
"t= 0";0;1;2;1;2000;NA;23660,0441906369;17986,1853775056;500,57655459548;610,464488632687;513,2671560725;637,549712089822;NA;7000;3500;3;1;1;2;NA;4350;0,602927017695467;0,208377957837389;500;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;4072,93969615827;0,166540648436145;NA;500,57655459548;692,737769164287;555,078340676512;0,038997367536986;584,960513054791;NA;15000;0,2;0,001;0,001;0,001;2000;2,5;0,801282051282051;2,31659820746186;0,355444315968585;0,05919592686435;NA;610,464488632687;817,177286934025;576,695333051535;0,553311342831445;1659,93402849433;NA;3000;0,3;0,001;0,001;0,001;500;1,5;0,705716302046577;2,76410244442445;0,268839100802186;0,0447726381725862;NA;513,2671560725;674,736194395663;607,323307286826;0,365609030921829;1828,04515460915;NA;5000;0,1;0,001;0,001;0,001;800;2;0,9000900090009;2,61867903405258;0,375716583229229;0,0625720833992084;NA;9563,24568134733;0,230532333868388;NA;637,549712089822;9563,24568134733;NA;15;0,230532333868388;2000-01-07
"t= 1";1;2;3;1;2000;NA;20524,9541963631;18971,4270781897;1083,23810071222;731,102682350689;1482,31883156069;449,11215081811;NA;7000;3500;3;1;1;2;NA;4475;0,602927017695467;0,208377957837389;625;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;7759,74481591808;0,166540648436145;NA;1083,23810071222;1220,07038918537;977,620504154945;0,14313989316499;2147,09839747486;NA;15000;0,2;0,001;0,001;0,001;2000;2,5;0,801282051282051;2,31659820746186;0,355444315968585;0,05919592686435;NA;731,102682350689;973,004146847296;686,664888389059;0,616769190603173;1850,30757180952;NA;3000;0,3;0,001;0,001;0,001;500;1,5;0,705716302046577;2,76410244442445;0,268839100802186;0,0447726381725862;NA;1482,31883156069;1549,64464325452;1394,81966089516;0,75246776932674;3762,3388466337;NA;5000;0,1;0,001;0,001;0,001;800;2;0,9000900090009;2,61867903405258;0,375716583229229;0,0625720833992084;NA;6736,68226227164;0,230532333868388;NA;449,11215081811;6736,68226227164;NA;15;0,230532333868388;2000-01-14
"t= 2";2;3;4;1;2000;NA;24004,5817301281;19041,358452866;249,875782237051;102,77084250079;859,058662925925;700,124430470169;NA;7000;3500;3;1;1;2;NA;4600;0,602927017695467;0,208377957837389;750;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;3939,49199581344;0,166540648436145;NA;249,875782237051;492,065529978717;394,283277226536;0,0169635032777863;254,452549166795;NA;15000;0,2;0,001;0,001;0,001;2000;2,5;0,801282051282051;2,31659820746186;0,355444315968585;0,05919592686435;NA;102,77084250079;384,76427554257;271,534421695533;0,285818778065287;857,45633419586;NA;3000;0,3;0,001;0,001;0,001;500;1,5;0,705716302046577;2,76410244442445;0,268839100802186;0,0447726381725862;NA;859,058662925925;1014,00512599445;912,6958829833;0,565516622490157;2827,58311245078;NA;5000;0,1;0,001;0,001;0,001;800;2;0,9000900090009;2,61867903405258;0,375716583229229;0,0625720833992084;NA;10501,8664570525;0,230532333868388;NA;700,124430470169;10501,8664570525;NA;15;0,230532333868388;2000-01-21
"t= 3";3;4;5;1;2000;NA;14487,7718324006;10980,6980443978;1096,55420308761;247,119116922018;572,540083874516;105,569535167888;NA;7000;3500;3;1;1;2;NA;4725;0,602927017695467;0,208377957837389;875;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;4672,15501687953;0,166540648436145;NA;1096,55420308761;1193,86349600028;956,621391025864;0,136609933060214;2049,14899590321;NA;15000;0,2;0,001;0,001;0,001;2000;2,5;0,801282051282051;2,31659820746186;0,355444315968585;0,05919592686435;NA;247,119116922018;360,232152276899;254,221702383133;0,266080188110866;798,240564332596;NA;3000;0,3;0,001;0,001;0,001;500;1,5;0,705716302046577;2,76410244442445;0,268839100802186;0,0447726381725862;NA;572,540083874516;673,782405638788;606,464811556065;0,364953091328746;1824,76545664373;NA;5000;0,1;0,001;0,001;0,001;800;2;0,9000900090009;2,61867903405258;0,375716583229229;0,0625720833992084;NA;1583,54302751832;0,230532333868388;NA;105,569535167888;1583,54302751832;NA;15;0,230532333868388;2000-01-28
"t= 4";4;5;1;2;2000;NA;14558,765791647;12355,4628137128;598,098742126131;524,13095934795;202,35164352737;320,395126007497;NA;7000;3500;3;1;1;2;NA;4850;0,602927017695467;0,208377957837389;1000;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;2699,53592360036;0,166540648436145;NA;598,098742126131;836,070518838834;669,92830035163;0,0609777908032223;914,666862048335;NA;15000;0,2;0,001;0,001;0,001;2000;2,5;0,801282051282051;2,31659820746186;0,355444315968585;0,05919592686435;NA;524,13095934795;627,255842673095;442,664673728366;0,454453278753399;1363,3598362602;NA;3000;0,3;0,001;0,001;0,001;500;1,5;0,705716302046577;2,76410244442445;0,268839100802186;0,0447726381725862;NA;202,35164352737;269,678557375641;242,734975135591;0,0843018450583651;421,509225291826;NA;5000;0,1;0,001;0,001;0,001;800;2;0,9000900090009;2,61867903405258;0,375716583229229;0,0625720833992084;NA;4805,92689011246;0,230532333868388;NA;320,395126007497;4805,92689011246;NA;15;0,230532333868388;2000-02-04
"t= 5";5;6;2;2;2000;NA;18467,7673075568;22812,3456134438;593,712140831146;803,737609903385;420,678010698749;948,90741026029;NA;7000;3500;3;1;1;2;NA;4975;0,602927017695467;0,208377957837389;1125;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;3603,73445953942;0,166540648436145;NA;593,712140831146;759,193063637773;608,32777535078;0,0485463691545298;728,195537317947;NA;15000;0,2;0,001;0,001;0,001;2000;2,5;0,801282051282051;2,31659820746186;0,355444315968585;0,05919592686435;NA;803,737609903385;985,992430978273;695,830932235902;0,621459559516492;1864,37867854947;NA;3000;0,3;0,001;0,001;0,001;500;1,5;0,705716302046577;2,76410244442445;0,268839100802186;0,0447726381725862;NA;420,678010698749;447,497634553157;402,788149912833;0,202232048734399;1011,16024367199;NA;5000;0,1;0,001;0,001;0,001;800;2;0,9000900090009;2,61867903405258;0,375716583229229;0,0625720833992084;NA;14233,6111539043;0,230532333868388;NA;948,90741026029;14233,6111539043;NA;15;0,230532333868388;2000-02-11
"t= 6";6;7;3;2;2000;NA;19790,5172662881;20361,357401454;244,372898639229;301,515462810564;975,071326101982;730,917683336884;NA;7000;3500;3;1;1;2;NA;5100;0,602927017695467;0,208377957837389;1250;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;4297,59215140072;0,166540648436145;NA;244,372898639229;395,811710115205;317,156819002568;0,0099147718529576;148,721577794364;NA;15000;0,2;0,001;0,001;0,001;2000;2,5;0,801282051282051;2,31659820746186;0,355444315968585;0,05919592686435;NA;301,515462810564;596,480748279789;420,946187917988;0,435817392821984;1307,45217846595;NA;3000;0,3;0,001;0,001;0,001;500;1,5;0,705716302046577;2,76410244442445;0,268839100802186;0,0447726381725862;NA;975,071326101982;1019,73518369101;917,853450666971;0,568283679028081;2841,41839514041;NA;5000;0,1;0,001;0,001;0,001;800;2;0,9000900090009;2,61867903405258;0,375716583229229;0,0625720833992084;NA;10963,7652500533;0,230532333868388;NA;730,917683336884;10963,7652500533;NA;15;0,230532333868388;2000-02-18
