"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",-4205.64667698018,-878980.155488857,-0.12823418945228,0,0,-878980.155488857,-0.12823418945228,0,0,FALSE,0.74641148325,0.772790201529162,0.724416457864399,0.460637900420924,0.0827192475976651,0.124767444695663,0.202057828954644,0.124767444695663,0.0106480637984386,0,1758.44024627945,0.002351488098,717363.847276706,1e-04,"1_376_5",1,376,5,2630,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0.835629692306769,5809513.43164092,0.847548424576524,27796.7149839278,0.751216753135251,5809513.43164092,0.847548424576524,27796.7149839278,0.751216753135251,TRUE,0.74641148325,0.772790201529162,0.724416457864399,0.460637900420924,0.0827192475976651,0.124767444695663,0.202057828954644,0.124767444695663,0.0106480637984386,0,1758.44024627945,0.002351488098,717363.847276706,1e-04,"1_376_5",1,376,5,2630,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.746849724091333,-1244.55785437127,-0.000181568226182545,-5.95482226971901,-0.000160931327804106,-1244.55785437127,-0.000181568226182545,-5.95482226971901,-0.000160931327804106,FALSE,0.74641148325,0.772790201529162,0.724416457864399,0.460637900420924,0.0827192475976651,0.124767444695663,0.202057828954644,0.124767444695663,0.0106480637984386,0,1758.44024627945,0.002351488098,717363.847276706,1e-04,"1_376_5",1,376,5,2630,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","ct.1.",12.5021860648975,1346617.01433504,0.196457610854552,6443.14360925858,0.174128397004106,1346617.01433504,0.196457610854552,6443.14360925858,0.174128397004106,TRUE,0.74641148325,0.772790201529162,0.724416457864399,0.460637900420924,0.0827192475976651,0.124767444695663,0.202057828954644,0.124767444695663,0.0106480637984386,0,1758.44024627945,0.002351488098,717363.847276706,1e-04,"1_376_5",1,376,5,2630,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","x.1.",1415.33119582118,230517.275015633,0.0336301061312786,1102.95346897432,0.029807735349347,230517.275015633,0.0336301061312786,1102.95346897432,0.029807735349347,TRUE,0.74641148325,0.772790201529162,0.724416457864399,0.460637900420924,0.0827192475976651,0.124767444695663,0.202057828954644,0.124767444695663,0.0106480637984386,0,1758.44024627945,0.002351488098,717363.847276706,1e-04,"1_376_5",1,376,5,2630,3,179077.69020739,856.831053623878,964.106207314926,107.275153691048,1404.26877584006,0.389763450996346,0.398415078688639,1.63890975928201,1.28724731008463,0.776851497117715,1,FALSE,1.29814875753742,0.0471505087396181,0.999303988862464,1.59308108058945,0.00167351770001599
"6","x.2.",1525.29039530754,140788.616701894,0.0205396151825911,673.629744985141,0.0182050990606501,140788.616701894,0.0205396151825911,673.629744985141,0.0182050990606501,TRUE,0.74641148325,0.772790201529162,0.724416457864399,0.460637900420924,0.0827192475976651,0.124767444695663,0.202057828954644,0.124767444695663,0.0106480637984386,0,1758.44024627945,0.002351488098,717363.847276706,1e-04,"1_376_5",1,376,5,2630,3,113445.538835127,542.801621220704,4129.84227687571,3587.04065565501,660.249061744517,0.246914758981486,0.243332339400359,1.21637267821656,1.24102382647682,0.805786302136462,1,FALSE,1.16383379016748,0.0698195697166416,0.725526750546713,1.60478048842087,0.660444563635459
"7","x.3.",1217.18788844246,207279.827915293,0.0302400009335167,991.769511556425,0.0268029467784496,207279.827915293,0.0302400009335167,991.769511556425,0.0268029467784496,TRUE,0.74641148325,0.772790201529162,0.724416457864399,0.460637900420924,0.0827192475976651,0.124767444695663,0.202057828954644,0.124767444695663,0.0106480637984386,0,1758.44024627945,0.002351488098,717363.847276706,1e-04,"1_376_5",1,376,5,2630,3,166929.009872181,798.703396517614,1035.70649563177,237.003099114156,1215.46404914914,0.363321790022168,0.358252581911002,1.5217965197702,1.24172441970397,0.805331669516817,1,FALSE,1.40159108019212,0.110081346995044,0.70388620131842,2.09016566721069,0.149850777257071
"8","(Intercept)",-3910.319111479,-817256.69429911,-0.119274919241714,0,0,-817256.69429911,-0.119274919241714,0,0,FALSE,0.74641148325,0.771048978163976,0.725839742497723,0.463184730422333,0.0830356023305403,0.124444839321221,0.20158021302263,0.124444839321221,0.00841433894428572,0,1828.48124798125,0.002449134511,717363.847276706,1e-04,"1_379_7",1,379,7,2653,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"9","trend",0.831820630974647,5783031.85352727,0.84400735058314,27670.0088685516,0.754066169154346,5783031.85352727,0.84400735058314,27670.0088685516,0.754066169154346,TRUE,0.74641148325,0.771048978163976,0.725839742497723,0.463184730422333,0.0830356023305403,0.124444839321221,0.20158021302263,0.124444839321221,0.00841433894428572,0,1828.48124798125,0.002449134511,717363.847276706,1e-04,"1_379_7",1,379,7,2653,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"10","season",0.744191715612258,-1240.12852244156,-0.00018099115051045,-5.93362929397874,-0.000161703927604371,-1240.12852244156,-0.00018099115051045,-5.93362929397874,-0.000161703927604371,FALSE,0.74641148325,0.771048978163976,0.725839742497723,0.463184730422333,0.0830356023305403,0.124444839321221,0.20158021302263,0.124444839321221,0.00841433894428572,0,1828.48124798125,0.002449134511,717363.847276706,1e-04,"1_379_7",1,379,7,2653,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
