"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",8137.34856064015,1700705.84917379,0.25589741590125,8137.34856064015,0.25589741590125,1700705.84917379,0.25589741590125,8137.34856064015,0.25589741590125,TRUE,0.74641148325,0.635993054579413,0.306990038079635,-1.19343927005004,0.10470028946605,0.197853793000118,0.407472474529787,0.197853793000118,0.00905922814285052,0,7966.60314470266,0.01100648765,717363.847276706,1e-04,"1_115_4",1,115,4,802,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"2","trend",0.5404947241196,3757658.91089367,0.565397717426052,17979.2292387257,0.565397717426052,3757658.91089367,0.565397717426052,17979.2292387257,0.565397717426052,TRUE,0.74641148325,0.635993054579413,0.306990038079635,-1.19343927005004,0.10470028946605,0.197853793000118,0.407472474529787,0.197853793000118,0.00905922814285052,0,7966.60314470266,0.01100648765,717363.847276706,1e-04,"1_115_4",1,115,4,802,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"3","season",0.50035252602994,-833.79245668559,-0.000125456930231322,-3.98943759179708,-0.000125456930231322,-833.79245668559,-0.000125456930231322,-3.98943759179708,-0.000125456930231322,FALSE,0.74641148325,0.635993054579413,0.306990038079635,-1.19343927005004,0.10470028946605,0.197853793000118,0.407472474529787,0.197853793000118,0.00905922814285052,0,7966.60314470266,0.01100648765,717363.847276706,1e-04,"1_115_4",1,115,4,802,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"4","ct.1.",8.27237318296358,891021.651676166,0.134067944957538,4263.26149127352,0.134067944957538,891021.651676166,0.134067944957538,4263.26149127352,0.134067944957538,TRUE,0.74641148325,0.635993054579413,0.306990038079635,-1.19343927005004,0.10470028946605,0.197853793000118,0.407472474529787,0.197853793000118,0.00905922814285052,0,7966.60314470266,0.01100648765,717363.847276706,1e-04,"1_115_4",1,115,4,802,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"5","x.1.",926.510626253762,117694.404927346,0.0177089377928432,563.131124054289,0.0177089377928432,117694.404927346,0.0177089377928432,563.131124054289,0.0177089377928432,TRUE,0.74641148325,0.635993054579413,0.306990038079635,-1.19343927005004,0.10470028946605,0.197853793000118,0.407472474529787,0.197853793000118,0.00905922814285052,0,7966.60314470266,0.01100648765,717363.847276706,1e-04,"1_115_4",1,115,4,802,2,179077.69020739,856.831053623878,1084.4700045075,227.638950883617,739.554977708827,0.389763450996346,0.395621017666062,0.863128121443494,0.657225390784548,1.52154803210855,3,FALSE,0.60422760497074,0.0831427241059337,0,1.30124122574136,0.00702222024589803
"6","x.2.",1689.19809699312,71420.3652510758,0.0107462950864504,341.72423565108,0.0107462950864504,71420.3652510758,0.0107462950864504,341.72423565108,0.0107462950864504,TRUE,0.74641148325,0.635993054579413,0.306990038079635,-1.19343927005004,0.10470028946605,0.197853793000118,0.407472474529787,0.197853793000118,0.00905922814285052,0,7966.60314470266,0.01100648765,717363.847276706,1e-04,"1_115_4",1,115,4,802,2,113445.538835127,542.801621220704,2221.99254047281,1679.1909192521,271.746408241052,0.246914758981486,0.240074263514521,0.500636692333238,0.629556401991907,1.58842003168583,3,FALSE,0.59201154135867,0.0854465370204367,0,1.30786241162665,0.287343797381802
"7","x.3.",3417.03379100048,108378.031446921,0.0163071457660975,518.555174387183,0.0163071457660975,108378.031446921,0.0163071457660975,518.555174387183,0.0163071457660975,TRUE,0.74641148325,0.635993054579413,0.306990038079635,-1.19343927005004,0.10470028946605,0.197853793000118,0.407472474529787,0.197853793000118,0.00905922814285052,0,7966.60314470266,0.01100648765,717363.847276706,1e-04,"1_115_4",1,115,4,802,2,166929.009872181,798.703396517614,1306.20137893495,507.497982417333,440.88738731406,0.363321790022168,0.364304718819417,0.552003896861277,0.649246236648184,1.5402476649886,3,FALSE,0.599087389190405,0.0823438925518141,0,1.2891658361484,0.135349101799445
"8","(Intercept)",3129.24226863675,654011.634145081,0.0972901123050858,3129.24226863675,0.0972901123050858,654011.634145081,0.0972901123050858,3129.24226863675,0.0972901123050858,TRUE,0.74641148325,0.713604311236858,0.545140315196288,-0.409710065958089,0.0928701795688843,0.160292559883081,0.326663318648065,0.160292559883081,0.0336281654112318,0,4902.96747933615,0.006735374642,717363.847276706,1e-04,"1_134_1",1,134,1,932,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"9","trend",0.656552097595571,4564519.74441477,0.679013362099279,21839.8073895444,0.679013362099279,4564519.74441477,0.679013362099279,21839.8073895444,0.679013362099279,TRUE,0.74641148325,0.713604311236858,0.545140315196288,-0.409710065958089,0.0928701795688843,0.160292559883081,0.326663318648065,0.160292559883081,0.0336281654112318,0,4902.96747933615,0.006735374642,717363.847276706,1e-04,"1_134_1",1,134,1,932,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"10","season",0.581945011929839,-969.758991731105,-0.000144260371358251,-4.63999517574691,-0.000144260371358251,-969.758991731105,-0.000144260371358251,-4.63999517574691,-0.000144260371358251,FALSE,0.74641148325,0.713604311236858,0.545140315196288,-0.409710065958089,0.0928701795688843,0.160292559883081,0.326663318648065,0.160292559883081,0.0336281654112318,0,4902.96747933615,0.006735374642,717363.847276706,1e-04,"1_134_1",1,134,1,932,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"11","ct.1.",10.0605191039073,1083623.78611547,0.161198783543734,5184.80280438024,0.161198783543734,1083623.78611547,0.161198783543734,5184.80280438024,0.161198783543734,TRUE,0.74641148325,0.713604311236858,0.545140315196288,-0.409710065958089,0.0928701795688843,0.160292559883081,0.326663318648065,0.160292559883081,0.0336281654112318,0,4902.96747933615,0.006735374642,717363.847276706,1e-04,"1_134_1",1,134,1,932,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"12","x.1.",1427.1490595323,175662.548428305,0.0261313838655601,840.490662336388,0.0261313838655601,175662.548428305,0.0261313838655601,840.490662336388,0.0261313838655601,TRUE,0.74641148325,0.713604311236858,0.545140315196288,-0.409710065958089,0.0928701795688843,0.160292559883081,0.326663318648065,0.160292559883081,0.0336281654112318,0,4902.96747933615,0.006735374642,717363.847276706,1e-04,"1_134_1",1,134,1,932,6,179077.69020739,856.831053623878,875.814964713191,18.9839110893131,1154.60560792186,0.389763450996346,0.41715435098954,1.34753006796215,0.980929272791433,1.01944149057179,3,FALSE,0.60422760497074,0.0831427241059337,0,1.30124122574136,9.06848906767169e-08
"13","x.2.",1067.3815741109,97512.1523985056,0.0145058096257914,466.565322480888,0.0145058096257914,97512.1523985056,0.0145058096257914,466.565322480888,0.0145058096257914,TRUE,0.74641148325,0.713604311236858,0.545140315196288,-0.409710065958089,0.0928701795688843,0.160292559883081,0.326663318648065,0.160292559883081,0.0336281654112318,0,4902.96747933615,0.006735374642,717363.847276706,1e-04,"1_134_1",1,134,1,932,6,113445.538835127,542.801621220704,2745.49867597905,2202.69705475835,462.163792407256,0.246914758981486,0.231566825207445,0.85144143705374,0.859550348120979,1.1633989820213,3,FALSE,0.59201154135867,0.0854465370204367,0,1.30786241162665,0.507780811873
"14","x.3.",4523.92301893235,147922.545340256,0.0220048089319083,707.76337483376,0.0220048089319083,147922.545340256,0.0220048089319083,707.76337483376,0.0220048089319083,TRUE,0.74641148325,0.713604311236858,0.545140315196288,-0.409710065958089,0.0928701795688843,0.160292559883081,0.326663318648065,0.160292559883081,0.0336281654112318,0,4902.96747933615,0.006735374642,717363.847276706,1e-04,"1_134_1",1,134,1,932,6,166929.009872181,798.703396517614,1691.38307549972,892.679678982104,613.464740873876,0.363321790022168,0.351278823803015,0.768075788269604,0.886140434508785,1.12848930153417,3,FALSE,0.599087389190405,0.0823438925518141,0,1.2891658361484,0.248363046371607
"15","(Intercept)",-4914.33173069094,-1027095.33171441,-0.149175272707864,0,0,-1027095.33171441,-0.149175272707864,0,0,FALSE,0.74641148325,0.787895183592429,0.739497477842945,0.640459789523114,0.0799223623792744,0.121305532288874,0.164971606503446,0.121305532288874,0.564153996055873,0,1265.4496420477,0.001664194042,717363.847276706,1e-04,"1_216_5",1,216,5,1510,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"16","trend",0.891551765015845,6198298.12361583,0.900240497999009,29656.9288211284,0.783379628311809,6198298.12361583,0.900240497999009,29656.9288211284,0.783379628311809,TRUE,0.74641148325,0.787895183592429,0.739497477842945,0.640459789523114,0.0799223623792744,0.121305532288874,0.164971606503446,0.121305532288874,0.564153996055873,0,1265.4496420477,0.001664194042,717363.847276706,1e-04,"1_216_5",1,216,5,1510,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"17","season",0.767627153605381,-1279.18157084491,-0.000185788265004717,-6.1204859849039,-0.000161670956047405,-1279.18157084491,-0.000185788265004717,-6.1204859849039,-0.000161670956047405,FALSE,0.74641148325,0.787895183592429,0.739497477842945,0.640459789523114,0.0799223623792744,0.121305532288874,0.164971606503446,0.121305532288874,0.564153996055873,0,1265.4496420477,0.001664194042,717363.847276706,1e-04,"1_216_5",1,216,5,1510,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"18","ct.1.",13.1286671545186,1414095.62088143,0.205383174634699,6766.00775541354,0.178722236296247,1414095.62088143,0.205383174634699,6766.00775541354,0.178722236296247,TRUE,0.74641148325,0.787895183592429,0.739497477842945,0.640459789523114,0.0799223623792744,0.121305532288874,0.164971606503446,0.121305532288874,0.564153996055873,0,1265.4496420477,0.001664194042,717363.847276706,1e-04,"1_216_5",1,216,5,1510,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"19","x.1.",1664.62942034049,256053.610979228,0.0371892131783933,1225.13689463745,0.0323616545374861,256053.610979228,0.0371892131783933,1225.13689463745,0.0323616545374861,TRUE,0.74641148325,0.787895183592429,0.739497477842945,0.640459789523114,0.0799223623792744,0.121305532288874,0.164971606503446,0.121305532288874,0.564153996055873,0,1265.4496420477,0.001664194042,717363.847276706,1e-04,"1_216_5",1,216,5,1510,2,179077.69020739,856.831053623878,877.704126836395,20.8730732125171,1657.17353631543,0.389763450996346,0.850284266861334,1.93407268481527,1.42984651344727,0.699375765577148,1,FALSE,1.35367434002393,0.0183817455504856,1.18566330476806,1.5223325794823,5.9473318558732e-10
"20","x.2.",86.3560877147632,2402.13539242319,0.000348886019808705,11.4934707771444,0.00030359687342263,2402.13539242319,0.000348886019808705,11.4934707771444,0.00030359687342263,TRUE,0.74641148325,0.787895183592429,0.739497477842945,0.640459789523114,0.0799223623792744,0.121305532288874,0.164971606503446,0.121305532288874,0.564153996055873,0,1265.4496420477,0.001664194042,717363.847276706,1e-04,"1_216_5",1,216,5,1510,2,113445.538835127,542.801621220704,1165.17173399879,622.370112778081,9.21158890258685,0.246914758981486,0.00797683705079211,0.0169704520813165,0.0211743486530066,47.2269544809826,1,FALSE,0.0485016522562068,0.00804073165484012,0,0.12202256773568,0.120021598105462
"21","x.3.",3917.072216338,42683.0856149763,0.00619928914095939,204.22529002381,0.00539455493708255,42683.0856149763,0.00619928914095939,204.22529002381,0.00539455493708255,TRUE,0.74641148325,0.787895183592429,0.739497477842945,0.640459789523114,0.0799223623792744,0.121305532288874,0.164971606503446,0.121305532288874,0.564153996055873,0,1265.4496420477,0.001664194042,717363.847276706,1e-04,"1_216_5",1,216,5,1510,2,166929.009872181,798.703396517614,2093.48738630772,1294.78398979011,14.7282637292056,0.363321790022168,0.141738896087874,0.0184402167230308,0.255696032988269,3.9108936822883,1,FALSE,0.335290268444648,0.0100091217731863,0.243397400014492,0.426718606297649,0.0380980135445262
