"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",15679.5485341947,3277025.64364669,0.486708888788823,15679.5485341947,0.486523597913296,3277025.64364669,0.486708888788823,15679.5485341947,0.486523597913296,TRUE,0.74641148325,0.582946410978351,0.440608086531657,-0.449452691871062,0.112069898529609,0.177759464630372,0.331235969912704,0.177759464630372,0.000831401189461607,0,12849.7808840205,0.01781428278,717363.847276706,1e-04,"1_331_1",1,331,1,2311,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"2","trend",0.269393223650818,1872891.26463678,0.278164691204333,8961.20222314251,0.27805879344828,1872891.26463678,0.278164691204333,8961.20222314251,0.27805879344828,TRUE,0.74641148325,0.582946410978351,0.440608086531657,-0.449452691871062,0.112069898529609,0.177759464630372,0.331235969912704,0.177759464630372,0.000831401189461607,0,12849.7808840205,0.01781428278,717363.847276706,1e-04,"1_331_1",1,331,1,2311,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"3","season",0.398271812054692,-663.68413333809,-9.85713882556912e-05,-3.17552216908177,-9.85338619658443e-05,-663.68413333809,-9.85713882556912e-05,-3.17552216908177,-9.85338619658443e-05,FALSE,0.74641148325,0.582946410978351,0.440608086531657,-0.449452691871062,0.112069898529609,0.177759464630372,0.331235969912704,0.177759464630372,0.000831401189461607,0,12849.7808840205,0.01781428278,717363.847276706,1e-04,"1_331_1",1,331,1,2311,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"4","ct.1.",6.58734505955372,709526.389260603,0.105379950612497,3394.86310651006,0.105339832291747,709526.389260603,0.105379950612497,3394.86310651006,0.105339832291747,TRUE,0.74641148325,0.582946410978351,0.440608086531657,-0.449452691871062,0.112069898529609,0.177759464630372,0.331235969912704,0.177759464630372,0.000831401189461607,0,12849.7808840205,0.01781428278,717363.847276706,1e-04,"1_331_1",1,331,1,2311,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"5","x.1.",2209.05260094556,340886.185224624,0.0506289405259305,1631.03437906519,0.0506096660048911,340886.185224624,0.0506289405259305,1631.03437906519,0.0506096660048911,TRUE,0.74641148325,0.582946410978351,0.440608086531657,-0.449452691871062,0.112069898529609,0.177759464630372,0.331235969912704,0.177759464630372,0.000831401189461607,0,12849.7808840205,0.01781428278,717363.847276706,1e-04,"1_331_1",1,331,1,2311,4,179077.69020739,856.831053623878,18603.2117329552,18496.0743963916,1803.42894364132,0.389763450996346,0.389918168770862,2.10476608663272,1.9035659038814,0.525329854858709,4,TRUE,1.35735728785585,0.0314256539718838,1.00532758733741,1.70939951002169,0.993618245882868
"6","x.2.",2607.0894214873,215297.304659118,0.0319762868237004,1035.08319547653,0.0321177870207535,215297.304659118,0.0319762868237004,1035.08319547653,0.0321177870207535,TRUE,0.74641148325,0.582946410978351,0.440608086531657,-0.449452691871062,0.112069898529609,0.177759464630372,0.331235969912704,0.177759464630372,0.000831401189461607,0,12849.7808840205,0.01781428278,717363.847276706,1e-04,"1_331_1",1,331,1,2311,4,113445.538835127,542.801621220704,27849.659573021,27849.659573021,586.863119373856,0.246914758981486,0.246264983483179,1.08117421988177,1.89780318265326,0.526925030551341,4,TRUE,2.93092720180191,0.0636766139397321,2.21896434448942,3.64559864927376,1
"7","x.3.",4970.01660227105,318067.09017822,0.0472398134329723,1529.1687027799,0.0474488571829977,318067.09017822,0.0472398134329723,1529.1687027799,0.0474488571829977,TRUE,0.74641148325,0.582946410978351,0.440608086531657,-0.449452691871062,0.112069898529609,0.177759464630372,0.331235969912704,0.177759464630372,0.000831401189461607,0,12849.7808840205,0.01781428278,717363.847276706,1e-04,"1_331_1",1,331,1,2311,4,166929.009872181,798.703396517614,50070.7829931544,50070.7829931544,588.762210617342,0.363321790022168,0.36381684774596,0.737147498288318,1.9054033233754,0.52482326850806,4,TRUE,2.57759937881835,0.0506776341950629,2.0094265105882,3.14482688687732,1
"8","(Intercept)",6527.19504047977,1364183.76346027,0.198557324358508,6527.19504047977,0.198448920485728,1364183.76346027,0.198557324358508,6527.19504047977,0.198448920485728,TRUE,0.74641148325,0.771846151181164,0.728705053651655,0.500519479888786,0.0828909175398704,0.123792830626056,0.194444089773823,0.123792830626056,0.159875923362841,0,2180.1784069904,0.002939446831,717363.847276706,1e-04,"1_498_3",1,498,3,3482,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"9","trend",0.447072602651053,3108164.19513545,0.452394158898068,14871.5990197869,0.452147170885886,3108164.19513545,0.452394158898068,14871.5990197869,0.452147170885886,TRUE,0.74641148325,0.771846151181164,0.728705053651655,0.500519479888786,0.0828909175398704,0.123792830626056,0.194444089773823,0.123792830626056,0.159875923362841,0,2180.1784069904,0.002939446831,717363.847276706,1e-04,"1_498_3",1,498,3,3482,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"10","season",0.701182096431173,-1168.45686261674,-0.00017006921976628,-5.59070269194611,-0.000169976369189637,-1168.45686261674,-0.00017006921976628,-5.59070269194611,-0.000169976369189637,FALSE,0.74641148325,0.771846151181164,0.728705053651655,0.500519479888786,0.0828909175398704,0.123792830626056,0.194444089773823,0.123792830626056,0.159875923362841,0,2180.1784069904,0.002939446831,717363.847276706,1e-04,"1_498_3",1,498,3,3482,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
