"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","x.1.",1,7,3.05886690184381,0.114573451488464,"[2.31, 3.8]",2.31356684759402,3.79704562030323,0.280646494216259,0.0206542602135528
"2","x.1.",2,26,1.41426181735993,0.0175353108598367,"[1.23, 1.6]",1.22999165145769,1.59829024886683,0.0876765542991837,0.00549143137381322
"3","x.1.",3,14,1.55552012556927,0.0478772142966694,"[1.17, 1.95]",1.17209147073994,1.94610892561032,0.172623751073019,0.0113057066365295
"4","x.1.",4,30,1.35735728785585,0.0314256539718838,"[1.01, 1.71]",1.00532758733741,1.70939951002169,0.169232325810575,0.0105306724677316
"5","x.1.",5,34,2.51409904722219,0.0274776181757096,"[2.19, 2.84]",2.18801827180647,2.83996107902554,0.157846898988016,0.00977410712318286
"6","x.2.",1,7,3.05978955073435,0.118056158532033,"[2.29, 3.82]",2.29193662264083,3.82050893057638,0.289177349396599,0.0212820909770581
"7","x.2.",2,26,2.71470400117161,0.078523975613128,"[1.89, 3.54]",1.88928537665131,3.53854442386582,0.39261987806564,0.0245908970034928
"8","x.2.",3,14,2.56197321661113,0.0665848510738965,"[2.02, 3.1]",2.0212705340587,3.09772908993433,0.240075094716067,0.0157233206596745
"9","x.2.",4,30,2.93092720180191,0.0636766139397321,"[2.22, 3.65]",2.21896434448942,3.64559864927376,0.342909060425736,0.0213379032892506
"10","x.2.",5,34,2.53253092386144,0.0236530497126527,"[2.25, 2.81]",2.25178506520561,2.81298493086903,0.135876425856012,0.00841366381187322
"11","x.3.",1,7,3.06795361181503,0.118180133831791,"[2.3, 3.83]",2.29924364938045,3.82942116972029,0.289481025621714,0.0213044401170027
"12","x.3.",2,26,2.10410309086524,0.0222034804145962,"[1.87, 2.34]",1.87166667906829,2.33801202986712,0.111017402072981,0.00695333489843226
"13","x.3.",3,14,2.09655265619511,0.0314990471101229,"[1.84, 2.35]",1.84178059014326,2.35101682356204,0.113571429483804,0.00743817265036756
"14","x.3.",4,30,2.57759937881835,0.0506776341950629,"[2.01, 3.14]",2.0094265105882,3.14482688687732,0.272907412176089,0.0169819717236494
"15","x.3.",5,34,2.50006928874829,0.0277247069415485,"[2.17, 2.83]",2.17094736596539,2.82875268072071,0.159266315882633,0.00986199945980392
