"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",9725.50897401625,2032631.3755694,0.296309407026546,9725.50897401625,0.296246028593934,2032631.3755694,0.296309407026546,9725.50897401625,0.296246028593934,TRUE,0.74641148325,0.755053968014642,0.706562015468459,0.474856393447587,0.0858871618125007,0.128745722021573,0.199376749220884,0.128745722021573,0.00488008900202662,0,3042.7417093751,0.004141974071,717363.847276706,1e-04,"1_98_5",1,98,5,684,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"2","trend",0.342764286107397,2382985.83973331,0.347382771716901,11401.8461231259,0.347308469062088,2382985.83973331,0.347382771716901,11401.8461231259,0.347308469062088,TRUE,0.74641148325,0.755053968014642,0.706562015468459,0.474856393447587,0.0858871618125007,0.128745722021573,0.199376749220884,0.128745722021573,0.00488008900202662,0,3042.7417093751,0.004141974071,717363.847276706,1e-04,"1_98_5",1,98,5,684,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"3","season",0.69861886849266,-1164.18547392833,-0.000169710608423521,-5.57026542549439,-0.00016967430855553,-1164.18547392833,-0.000169710608423521,-5.57026542549439,-0.00016967430855553,FALSE,0.74641148325,0.755053968014642,0.706562015468459,0.474856393447587,0.0858871618125007,0.128745722021573,0.199376749220884,0.128745722021573,0.00488008900202662,0,3042.7417093751,0.004141974071,717363.847276706,1e-04,"1_98_5",1,98,5,684,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"4","ct.1.",11.3905283568758,1226879.77990516,0.178849950092264,5870.2381813644,0.178811695385391,1226879.77990516,0.178849950092264,5870.2381813644,0.178811695385391,TRUE,0.74641148325,0.755053968014642,0.706562015468459,0.474856393447587,0.0858871618125007,0.128745722021573,0.199376749220884,0.128745722021573,0.00488008900202662,0,3042.7417093751,0.004141974071,717363.847276706,1e-04,"1_98_5",1,98,5,684,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"5","x.1.",5877.86078498716,470937.142730341,0.0686514570159645,2253.28776426,0.0686367729673348,470937.142730341,0.0686514570159645,2253.28776426,0.0686367729673348,TRUE,0.74641148325,0.755053968014642,0.706562015468459,0.474856393447587,0.0858871618125007,0.128745722021573,0.199376749220884,0.128745722021573,0.00488008900202662,0,3042.7417093751,0.004141974071,717363.847276706,1e-04,"1_98_5",1,98,5,684,4,179077.69020739,856.831053623878,58468.4406730597,58434.4529330749,1029.7520180312,0.389763450996346,0.386490973591079,1.20181453937269,2.62979236656977,0.380258157530655,2,FALSE,2.18370520521147,0.158940598541966,0.356569302858067,4.02403788360825,0.998953645846192
"6","x.2.",7229.77845137789,305256.892091844,0.044499209140252,1467.58121198002,0.0447035838278201,305256.892091844,0.044499209140252,1467.58121198002,0.0447035838278201,TRUE,0.74641148325,0.755053968014642,0.706562015468459,0.474856393447587,0.0858871618125007,0.128745722021573,0.199376749220884,0.128745722021573,0.00488008900202662,0,3042.7417093751,0.004141974071,717363.847276706,1e-04,"1_98_5",1,98,5,684,4,113445.538835127,542.801621220704,34148.5861525178,34148.5861525178,739.934262099666,0.246914758981486,0.250519703618957,1.36317621976816,2.69077916351986,0.371639565802152,2,FALSE,3.86897589387071,0.228650102355885,1.2287107051108,6.50468848591746,1
"7","x.3.",2435.3282128854,442300.509447842,0.0644769156164957,2116.27038013322,0.0644631244719874,442300.509447842,0.0644769156164957,2116.27038013322,0.0644631244719874,TRUE,0.74641148325,0.755053968014642,0.706562015468459,0.474856393447587,0.0858871618125007,0.128745722021573,0.199376749220884,0.128745722021573,0.00488008900202662,0,3042.7417093751,0.004141974071,717363.847276706,1e-04,"1_98_5",1,98,5,684,4,166929.009872181,798.703396517614,57219.28082445,57030.5892071148,2413.94929325429,0.363321790022168,0.362989322789964,3.02233507930382,2.64963237837758,0.377410846938819,2,FALSE,3.1425634994415,0.107242500728869,1.90638260993414,4.38094546896578,0.998673586088912
"8","(Intercept)",10894.2992693032,2276908.54728437,0.331518341184974,10894.2992693032,0.331317517404251,2276908.54728437,0.331518341184974,10894.2992693032,0.331317517404251,TRUE,0.74641148325,0.778048954116139,0.71903244795063,0.481592584543207,0.0817563784192338,0.125980325310236,0.198093886193607,0.125980325310236,0.0386139803783027,0,1952.52067548017,0.002622061866,717363.847276706,1e-04,"1_185_2",1,185,2,1290,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"9","trend",0.281250713309957,1955327.59507659,0.284696090041089,9355.63442620379,0.284523629763463,1955327.59507659,0.284696090041089,9355.63442620379,0.284523629763463,TRUE,0.74641148325,0.778048954116139,0.71903244795063,0.481592584543207,0.0817563784192338,0.125980325310236,0.198093886193607,0.125980325310236,0.0386139803783027,0,1952.52067548017,0.002622061866,717363.847276706,1e-04,"1_185_2",1,185,2,1290,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"10","season",0.759551179017291,-1265.72368597049,-0.000184289622555078,-6.05609419124637,-0.000184177985477572,-1265.72368597049,-0.000184289622555078,-6.05609419124637,-0.000184177985477572,FALSE,0.74641148325,0.778048954116139,0.71903244795063,0.481592584543207,0.0817563784192338,0.125980325310236,0.198093886193607,0.125980325310236,0.0386139803783027,0,1952.52067548017,0.002622061866,717363.847276706,1e-04,"1_185_2",1,185,2,1290,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"11","ct.1.",12.0858785222356,1301776.31069854,0.189538891946887,6228.59478803128,0.189424075020804,1301776.31069854,0.189538891946887,6228.59478803128,0.189424075020804,TRUE,0.74641148325,0.778048954116139,0.71903244795063,0.481592584543207,0.0817563784192338,0.125980325310236,0.198093886193607,0.125980325310236,0.0386139803783027,0,1952.52067548017,0.002622061866,717363.847276706,1e-04,"1_185_2",1,185,2,1290,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"12","x.1.",4446.52726123517,562162.665744531,0.0818509968905105,2702.70512377178,0.0821946900620703,562162.665744531,0.0818509968905105,2702.70512377178,0.0821946900620703,TRUE,0.74641148325,0.778048954116139,0.71903244795063,0.481592584543207,0.0817563784192338,0.125980325310236,0.198093886193607,0.125980325310236,0.0386139803783027,0,1952.52067548017,0.002622061866,717363.847276706,1e-04,"1_185_2",1,185,2,1290,4,179077.69020739,856.831053623878,60895.5645716227,60895.5645716227,3736.48401871819,0.389763450996346,0.420977164209722,4.36081769319065,3.13921106025819,0.318551375108162,1,FALSE,2.92531639402252,0.110781244502742,1.62835063285875,4.22091783533842,1
"13","x.2.",8731.13069429663,303746.032185064,0.0442254832112648,1460.31746242819,0.0444111864667667,303746.032185064,0.0442254832112648,1460.31746242819,0.0444111864667667,TRUE,0.74641148325,0.778048954116139,0.71903244795063,0.481592584543207,0.0817563784192338,0.125980325310236,0.198093886193607,0.125980325310236,0.0386139803783027,0,1952.52067548017,0.002622061866,717363.847276706,1e-04,"1_185_2",1,185,2,1290,4,113445.538835127,542.801621220704,31249.2467554262,31249.2467554262,588.248947841898,0.246914758981486,0.227461108787563,1.08372732291954,2.67746123209397,0.373488134212097,1,FALSE,2.55738764794482,0.140152527833219,0.91593191503654,4.19586299575327,1
