"";"t_ind";"semana_ano";"semana_mes";"mes";"ano";"Data";"y_sim[1]";"Y_signal";"x[1]";"x[2]";"x[3]";"ct[1]";"General_Params";"beta_0";"sigma_e";"M";"C";"C_used";"Generation_Adstock_Method";"TEMPORAL";"Y_temporal";"RE_Signal_Y_temporal";"RE_Signal_basalTrend";"trend";"RE_Temporal_trend";"seasonal";"Temporal_Params";"Trend_Method";"tau";"sigma_psi";"psi[1]";"psi[2]";"psi[3]";"psi[4]";"psi[5]";"psi[6]";"psi[7]";"psi[8]";"psi[9]";"psi[10]";"psi[11]";"psi[12]";"MARKETING";"Y_Marketing";"RE_Signal_Y_Marketing";"Channel[1]";"x[1]";"x_pre_ads[1]";"x_ads[1]";"x_sat[1]";"x_hilladstocked[1]";"Params_Channel[1]";"beta_x[1]";"theta_x[1]";"shape_x[1]";"scale_x[1]";"lambda_x[1]";"gamma_w_x[1]";"alpha_x[1]";"w_x[1]";"ROI_x[1]";"RE_advertising_x[1]";"RE_Signal_x[1]";"Channel[2]";"x[2]";"x_pre_ads[2]";"x_ads[2]";"x_sat[2]";"x_hilladstocked[2]";"Params_Channel[2]";"beta_x[2]";"theta_x[2]";"shape_x[2]";"scale_x[2]";"lambda_x[2]";"gamma_w_x[2]";"alpha_x[2]";"w_x[2]";"ROI_x[2]";"RE_advertising_x[2]";"RE_Signal_x[2]";"Channel[3]";"x[3]";"x_pre_ads[3]";"x_ads[3]";"x_sat[3]";"x_hilladstocked[3]";"Params_Channel[3]";"beta_x[3]";"theta_x[3]";"shape_x[3]";"scale_x[3]";"lambda_x[3]";"gamma_w_x[3]";"alpha_x[3]";"w_x[3]";"ROI_x[3]";"RE_advertising_x[3]";"RE_Signal_x[3]";"CONTROL";"Y_Control";"RE_Signal_Y_Control";"Control[1]";"ct[1]";"ct_impact[1]";"params_Control[1]";"beta_ct[1]";"RE_Signal_ct[1]";"fake_date"
"t= -3";1;50;3;12;1999;NA;16862,9098139028;15377,5505409172;1072,04084981412;401,447109086458;1478,0774574073;690,019911620766;NA;7000;3500;3;1;1;3;NA;3675;0,604986067048119;0,209089587083715;125;0,657277268651676;-3450;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;1352,25186660568;0,163694310673974;NA;1072,04084981412;1072,04084981412;793,283884786629;0,0901501244403783;1352,25186660568;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;401,447109086458;5,3869422688354e-08;5,80470563350051e-08;1,25087898031755e-15;3,75263694095266e-12;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;1478,0774574073;8,61587601974528e-08;1,0087412882218e-06;1,58993591650528e-18;7,94967958252642e-15;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;10350,2986743115;0,231319622277907;NA;690,019911620766;10350,2986743115;NA;15;0,231319622277907;1999-12-17
"t= -2";2;51;4;12;1999;NA;18628,6542661347;18007,811689938;1140,20630963024;1223,18654474175;180,012569304131;454,187326831743;NA;7000;3500;3;1;1;3;NA;3800;0,604986067048119;0,209089587083715;250;0,657277268651676;-3450;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;7395,0017874619;0,163694310673974;NA;1140,20630963024;1422,79320958439;1052,83201171191;0,167401176873436;2511,01765310154;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;1223,18654474175;297,261796886435;320,3147798694;0,338954711502939;1016,86413450882;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;180,012569304131;126,2442191207;1478,05929350102;0,773423999970307;3867,11999985154;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;6812,80990247615;0,231319622277907;NA;454,187326831743;6812,80990247615;NA;15;0,231319622277907;1999-12-24
"t= -1";3;52;5;12;1999;NA;12349,785231898;16710,2214006204;689,88317692542;285,956457764156;1581,90835172714;597,018993459642;NA;7000;3500;3;1;1;3;NA;3925;0,604986067048119;0,209089587083715;375;0,657277268651676;-3450;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;3829,93649872578;0,163694310673974;NA;689,88317692542;1064,92739510236;788,02010310426;0,0887942241641757;1331,91336246264;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;285,956457764156;973,282493761769;1048,76163370278;0,752340813620017;2257,02244086005;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;1581,90835172714;15,3766226991123;180,028521237492;0,0482001390806191;241,000695403096;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;8955,28490189463;0,231319622277907;NA;597,018993459642;8955,28490189463;NA;15;0,231319622277907;1999-12-31
"t= 0";4;1;2;1;2000;NA;25615,7912244579;19941,9324113266;500,57655459548;610,464488632687;513,2671560725;637,549712089822;NA;7000;3500;3;1;1;3;NA;4350;0,604986067048119;0,209089587083715;500;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;6028,68672997929;0,163694310673974;NA;500,57655459548;781,288368245497;578,134193307893;0,0429943277783965;644,914916675947;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;610,464488632687;425,29306838717;458,275018879946;0,467369462081493;1402,10838624448;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;513,2671560725;135,112718803931;1581,89112411876;0,796332685411772;3981,66342705886;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;9563,24568134733;0,231319622277907;NA;637,549712089822;9563,24568134733;NA;15;0,231319622277907;2000-01-07
"t= 1";5;2;3;1;2000;NA;17878,3806653714;16324,8535471981;1083,23810071222;731,102682350689;1482,31883156069;449,11215081811;NA;7000;3500;3;1;1;3;NA;4475;0,604986067048119;0,209089587083715;625;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;5113,17128492642;0,163694310673974;NA;1083,23810071222;1284,00771901059;950,134159168793;0,134615871429043;2019,23807143565;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;731,102682350689;523,761236689963;564,379503157492;0,545295032606985;1635,88509782095;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;1482,31883156069;43,8403719629523;513,280288489329;0,291609623133963;1458,04811566981;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;6736,68226227164;0,231319622277907;NA;449,11215081811;6736,68226227164;NA;15;0,231319622277907;2000-01-14
"t= 2";6;3;4;1;2000;NA;26124,9403347415;21161,7170574794;249,875782237051;102,77084250079;859,058662925925;700,124430470169;NA;7000;3500;3;1;1;3;NA;4600;0,604986067048119;0,209089587083715;750;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;6059,85060042685;0,163694310673974;NA;249,875782237051;582,831683241198;431,281123231894;0,0211372239677737;317,058359516605;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;102,77084250079;649,593994079008;699,970730841654;0,623550449735282;1870,65134920584;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;859,058662925925;126,607018294025;1482,30692316313;0,774428178340879;3872,1408917044;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;10501,8664570525;0,231319622277907;NA;700,124430470169;10501,8664570525;NA;15;0,231319622277907;2000-01-21
"t= 3";7;4;5;1;2000;NA;15091,3974617207;11584,3236737179;1096,55420308761;247,119116922018;572,540083874516;105,569535167888;NA;7000;3500;3;1;1;3;NA;4725;0,604986067048119;0,209089587083715;875;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;5275,7806461996;0,163694310673974;NA;1096,55420308761;1246,85624531339;922,642981584305;0,126291920829177;1894,37881243765;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;247,119116922018;210,891865688122;227,246764440252;0,234538816218085;703,616448654254;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;572,540083874516;73,3746997906555;859,066321521907;0,535557077021538;2677,78538510769;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;1583,54302751832;0,231319622277907;NA;105,569535167888;1583,54302751832;NA;15;0,231319622277907;2000-01-28
"t= 4";8;5;1;2;2000;NA;15230,1041957467;13026,8012178125;598,098742126131;524,13095934795;202,35164352737;320,395126007497;NA;7000;3500;3;1;1;3;NA;4850;0,604986067048119;0,209089587083715;1000;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;3370,87432770004;0,163694310673974;NA;598,098742126131;924,349721458789;683,9960791302;0,0640213715364531;960,320573046797;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;524,13095934795;214,391770443047;231,018090701749;0,23900030766105;717,000922983149;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;202,35164352737;48,9021790756111;572,543604440627;0,338710566334019;1693,5528316701;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;4805,92689011246;0,231319622277907;NA;320,395126007497;4805,92689011246;NA;15;0,231319622277907;2000-02-04
"t= 5";9;6;2;2;2000;NA;17333,0131466732;21677,5914525602;593,712140831146;803,737609903385;420,678010698749;948,90741026029;NA;7000;3500;3;1;1;3;NA;4975;0,604986067048119;0,209089587083715;1125;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;2468,9802986558;0,163694310673974;NA;593,712140831146;832,1382626441;615,761865589698;0,049968355381671;749,525330725066;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;803,737609903385;431,667652274536;465,143958838015;0,472928567530176;1418,78570259053;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;420,678010698749;17,2836770744423;202,356192653269;0,0601338530680422;300,669265340211;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;14233,6111539043;0,231319622277907;NA;948,90741026029;14233,6111539043;NA;15;0,231319622277907;2000-02-11
"t= 6";10;7;3;2;2000;NA;18686,3416285556;19257,1817637215;244,372898639229;301,515462810564;975,071326101982;730,917683336884;NA;7000;3500;3;1;1;3;NA;5100;0,604986067048119;0,209089587083715;1250;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;3193,41651366822;0,163694310673974;NA;244,372898639229;462,515775407497;342,25030804934;0,0119689274093791;179,533911140686;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;301,515462810564;688,103125514902;741,466288252829;0,643601990382552;1930,80597114765;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;975,071326101982;35,9307833916846;420,675328222956;0,216615326275976;1083,07663137988;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;10963,7652500533;0,231319622277907;NA;730,917683336884;10963,7652500533;NA;15;0,231319622277907;2000-02-18
